abandoned	заброшенный
jealousy	ревность
jealous	ревнивый
jeanne	джин 
jeans	джинсы
jean	Хлопчатобумажная ткань 
jeer	насмешка
jeff	джеф 
jelly	желе
jenny	дженни 
jerk	резкий толчок, подергивание; резко толкать, дергать
jersey	джемпер (
jerusalem	иерусалим 
jessamy	джессами 
jessie	джесси 
jest	шутка; шутить, высмеивать (не joke)
jet	струя (воды, пара, газа)
jewellery	ювелирные изделия
jeweller	ювелир
jewels	драгоценности
jewel	драгоценность
Jew	еврей 
jill	джилл 
Jim	джим 
joan	джоан 
Jobs	работы (от job)
job	работа
joe	кофе (!NEW!)
joining	соединение
joint	совместный, объединенный
join	соединяться
joke	шутка, шутить
joking	шутка, шутящий (от joke)
jolly	очень, веселый
jonas	джонас 
josephine	джозефина 
joseph	джозеф 
josie	джоси 
journal	журнал
journey	путешествие
joyfully	радостно
joyful	радостный, довольный
joy	радость
jo	джо 
judged	оцененный  (не valued)
judgement	приговор, суждение
judge	судья
judgment	суждение 
jug	кувшин
jug	кувшин
juice	сок
juicy	сочный, дождливый
July	июль
jumble	толкаться
jumped	прыгал(а) (от jump)
jumper	джемпер
jump	прыгать
June	июнь
jungle	джунгли
junior	младший
junk	рухлядь (!NEW!)
jury	присяжные, жюри
justice	справедливость
justin	джастин 
justly	справедливо
just	только, всего лишь, справедливый
juvenile	юноша, подросток
kalgan	калган 
Kate	кейт 
kazan	казань 
keel	киль
keen	страстный
keeper	хранитель, смотритель, сторож
keeping	хранение, содержание, согласие (k...ing)
keep	(со)держать, сохранять
kennel	(собачья) конура, собачий питомник
kenneth	кеннет 
kept	заставил (от keep)
kerb	обочина
kernel	ядро, зерно
kettle	чайник
kettle	чайник
keyhole	замочная скважина
key	ключ
kick	пинать, пнуть
kidding	шутящий, высмеивающий (от kid)
kidnap	похищать (человека)
kidney	почка (анатом.)
kids	дети (от kid)
kid	ребенок (разг.), обманывать (сленг.)
killed	убил (от kill)
killing	убийственный (
kill	убивать
kindly	добрый, добродушный, ласково, любезно
kindness	доброта, любезность
kind	добрый, вид, род
kingdom	королевство
kings	короли 
king	король
kiss	целовать
kitchen	кухня
kitten	котенок
kitty	цель (в игре в кегли)
kit	ранец, багаж
knees	колени (!NEW!)
knee	колено
knelt	стоял на коленях (!NEW!)
knew	знал (от know)
knife	нож
knife	нож
knights	рыцари 
knight	рыцарь
knitted	вязанный, трикотажный
knit	вязать, связывать
knob	knob
knocked	стучать (2 форма)
knock	стучать, стук
knot	узел, завязывать узел (не kink)
knowing	знание, знающий
knowledge	знание
know	знать
konrad	конрад 
label	этикетка, приклеивать ярлык
laboratory	лаборатория
labor	рабочая сила 
labourer	рабочий
labour	труд, трудиться
lace	кружево, шнурок
lack	недостаток
ladder	лестница (не stairs)
laden	груженый, нагруженный, обремененный 
ladies	дамы (от lady)
Lads	парни (не guys) (!NEW!)
lady	дама, госпожа
lad	мальчик, юноша, парень (не guy)
laid	происходил, совершался (от lay)
lake	озеро
lamb	ягненок, баранина
lament	сетование, жалоба
lame	хромой
lamp	лампа
landed	земельный
landing	высадка на берег
landlady	хозяйка (дома, гостиницы) (не mistress)
landlord	домовладелец
landscape	ландшафт, пейзаж
landslide	оползень, обвал (не avalanche)
land	земля, суша, приземляться, высаживаться на берег
lane	дорожка (не road)
language	язык
lantern	фонарь
lapse	описка
lap	подол
lard	топленое свиное сало
largely	обильно
larger	больший 
largest	самый большой 
large	большой
lark	жаворонок
larva	личинка, головастик
lash	хлестать, ударять; плеть
lastly	наконец 
last	прошлый, последний, продолжаться, длиться
latch	запирать(ся)
lately	за последнее время
lateral	боковой
later	позже
latest	последний (не latter)
late	поздно
latter	последний
laughed	смеялся, хохотал (от laugh)
laughing	смех, смеющийся
laughter	смех, хохот
laugh	смех, смеяться
launching	спуск (на воду), начало
launch	начинать
laundry	прачечная, стирка
laurie	лаури 
lavish	щедрый, обильный
lawn	лужайка
laws	законы 
lawyer	адвокат, юрист
law	закон, право
laying	наложение
lay	класть, положить
laziness	лень
lazy	ленивый
la	ла 
leadership	руководство
leader	глава, лидер
leading	лидирование, руководящий
leads	лидерство 
lead	вести, руководить
leaflets	рекламные листки 
leaflet	рекламный листок 
leaf	лист
league	союз, лига
leak	просачиваться
lean	прислоняться, наклоняться, наклон
leaped	прыгал (не sprang, jumped, hopped) 
leapt	прыгал (!NEW!)
leap	високосный, прыжок, прыгать
learned	ученый
learning	учение
learnt	узнал, выученный (от learn)
learn	узнать, учиться
lease	аренда, сдавать в аренду
leash	поводок, цепь (не strap)
least	наименьший, менее всего
leather	кожа, кожаный
leave	оставлять, покидать, уезжать
leaving	уезжающий (от leave)
lecture	лекция
ledge	выступ, край
lee	защита 
left	покинутый, оставленный (от leave)
legacy	наследство
legally	законно
legal	законный
legend	легенда
legitimate	обоснованный
leg	нога
leisurely	не спеша
leisure	досуг
lemonade	лимонад
lemon	лимон
lend	дать в долг
length	длина
lens	линза
lent	одолжил, дал в долг (от lend)
lessen	уменьшать
lesson	урок
less	менее, в меньшей степени (от little)
letters	письма (от letter)
letter	письмо
Letting	разрешение
lettuce	салат
let	позволять, давать, разрешать
level	уровень
lever	рычаг
liable	подлежащий, обязанный, ответственный
liar	лгун
liberal	либеральный, щедрый; либерал
liberty	свобода
librarian	библиотекарь
libraries	библиотеки 
library	библиотека
licence	лицензия, разрешение (*****c*)
license	давать разрешение
lick	лизать
lid	крышка
lie	ложь, лгать, лежать
lifeboat	спасательная лодка
life	жизнь
lift	поднимать, подъемник, лифт
lighter	зажигалка
lighthouse	маяк
lighting	освещение
lightly	слегка (!NEW!)
lightning	молния
lights	фары (от light)
light	свет, освещение, фара, освещать, зажигать
liked	нравился, любил (от like)
likelihood	вероятность
likely	вероятно
likeness	сходство
likewise	так же (!NEW!)
like	любить, нравиться, похожий, подобный
lilac	сирень, сиреневый
lily	лилия
limbs	конечности (!NEW!)
limb	конечность (анат.)
lime	известь
limitation	ограничение
limited	ограниченный
limits	пределы 
limit	предел, граница
limp	хромота, прихрамывать
lined	выровненный 
linen	белье
line	линия, специальность
linger	медлить, задерживаться
lining	подкладка
link	соединять, соединить (link)
lion	лев
lip	губа
liquid	жидкость
liquor	крепкий спиртной напиток
listened	слушал (от listen)
listener	слушатель
listen	слушать
list	список
literal	буквальный
literary	литературный
literature	литература
litter	мусор, сорить
little	мало, маленький
lit	освещённый (!NEW!)
lived	жил, живший (от live)
lively	живой, оживленный
liver	печень
live	жить
living	средства к существованию, жизнь
lizard	ящерица
lizzie	автомобильчик 
loaded	загруженный
load	нагрузка, нагружать
loaf	безделье
loan	заём, ссуда
lobby	вестибюль
lobes	лепестки 
lobster	омар
local	местный
located	расположенный 
locate	определять местоположение (!NEW!)
locations	местоположения 
location	местоположение
locked	запертый
locking	захват
locksmith	слесарь
locks	замки 
lock	замок, запирать на замок
lodge	разместить
lodging	квартира, жилье
lofty	высокий, возвышенный
loft	сеновал, чердак
logic	логика
login	логин 
logs	бревна 
log	бревно
loneliness	одиночество (!NEW!)
lonely	одинокий
longer	длиннее (от long)
long	длинный, долгий, долго
looking	смотрящий (от look)
looks	выглядит (от like)
look	смотреть, выглядеть, взгляд, внешность
loom	принимать размеры
loop	петля
loosen	развязывать, распускать, ослаблять
loose	свободный
loot	ограбление
lord	лорд
lorry	грузовик (не truck)
lose	терять, проигрывать
losing	проигрыш, проигранный
loss	потеря, утрата
lost	потерял, проиграл, потерянный, проигранный (от lose)
Los	лос 
lots	уйма, куча, множество (не pile) (!NEW!)
lot	много
louder	громче
loudly	громко
loud	громкий
louisa	луиза 
louise	луиза 
loved	любил (от love)
lovely	прекрасный, восхитительный
lovers	любители(возлюбленные) 
lover	любитель, возлюбленный
love	любовь, любить
loving	любящий
lowered	пониженный 
lower	нижний, снижать, опускать
low	низкий
loyalty	верность
loyal	верный, лояльный
lucidly	понятно, ясно
lucius	лусиус 
luckily	к счастью
lucky	счастливый, удачный
luck	удача, везение
Lucy	люси 
luggage	багаж
Luke	лук 
lumber	лесоматериалы
lump	глыба, ком
luncheon	обед, лёгкая закуска
lunch	второй завтрак, обед
lustre	блеск, лоск, глянец, люстра
luxurious	роскошный
luxury	роскошь
lydia	лидия 
machinery	машины, механизмы
machine	машина
madame	мадам 
madam	госпожа
madeira	мадейра 
made	делал, сделанный (от make)
madly	безумно (!NEW!)
mad	обезумевший
magazines	журналы (от magazine)
magazine	журнал
magician	волшебник
magic	волшебный
magnificent	великолепный
maid	горничная
mail	почта, отправлять (по почте)
mainland	материк
mainly	главным образом
maintained	обслуженный(поддержанный) 
maintain	поддерживать
maintenance	поддержание
main	главный
majesty	величественность, величество (титул)
majority	большинство
major	специализироваться, главный
maker	производитель
makes	делает (от make)
make	делать, производить
making	создание, становление (процесс) (!NEW!)
male	мужчина, самец
malice	злоба
malicious	злобный
malignant	злобный, злостный, злокачественный
mallet	деревянный молоток
mallow	просвирник 
mama	мама 
mamma	мама 
management	управление
manager	управляющий
manages	ухитряется (от manage)
manage	справляться, ухитряться, управлять
mane	грива
mania	мания
manifest	явный, проявлять(ся)
manipulate	манипулировать
manipulation	манипуляция 
mankind	человечество
manners	способы (не methods) (!NEW!)
manner	способ, образ действия, манера
manoeuvre	маневр, маневрировать
mansfield	мансфилд 
mansion	дворец
mantle	покрывать, окутывать
manual	ручной
manufacture	производство, производить
manure	удобрение
manuscript	рукопись
many	много (с исчисляемыми существительными)
man	мужчина, человек
map	карта
marble	мрамор
marched	прошел 
March	маршировать
marco	марко 
margaret	маргарет 
margarita	маргарита 
margin	минимум, нижняя грань, предел
marianne	мэрианн 
Maria	мария 
mariner	моряк
marine	морской флот, морской
market	рынок
market	рынок
marks	оценки (от mark)
mark	норма, состояние, оценка, отметка
marmot	сурок
marquis	маркиз 
marriage	свадьба
married	женатый, замужняя
marrying	бракосочетание
marry	жениться, выходить замуж
marsh	болото
martial	военный
marvellous	удивительный, замечательный
marvel	удивляться, поражаться
mask	маска
mason	каменщик
masquerade	маскарад, маскироваться
masses	массы 
massive	массивный
mass	масса, множество
masterpiece	шедевр
master	хозяин (не hoster)
mast	мачта
matches	сделки, спички 
match	спичка, матч
materials	материалы 
material	материал
mate	товарищ
mathematical	математический
Maths	математика
matters	дела, материалы (от matter)
matter	дело, сущность, материал
mattress	матрац
mature	зрелый, созреть
maturity	зрелость
mat	коврик (не rug)
maud	дорожный плед 
maximum	максимум 
maxim	принцип
maybe	мoжет быть
mayor	мэр
May	май
meadow	луг
meals	еда (от meal)
meal	еда, есть, принимать пищу (не food)
meaningless	бессмысленный
meaning	значение
means	средство, способ
meantime	между тем
meant	означаемый, подразумеваемый (!NEW!)
meanwhile	тем временем, между тем
mean	означать
measles	корь
measured	измеренный 
measures	меры 
measure	мера
measuring	измерения (от measure)
meat	мясо, мясной
mechanical	механический
mechanics	механика
mechanic	механик
mechanism	устройство
medal	медаль
meddle	вмешиваться
medical	медицинский
medicine	медицина, лекарство
medieval	средневековый
meditate	размышлять, обдумывать
medium	средство, середина
meek	кроткий
meeting	встреча
meet	встречать(ся), знакомиться
meg	мэг 
melancholy	меланхолия 
melon	дыня
melt	таять
members	члены (от member)
member	член
memorable	памятный
memorandum	памятная записка
memory	память
menace	опасность (не danger)
mended	починил, починенный (от mend)
mend	чинить, ремонтировать
mentally	умственно
mental	умственный
mentioned	упомянул (от mention)
mention	благодарность, упоминать
menu	меню
men	мужчины (от man)
merchandise	торговля
merchant	торговец (не salesman)
merciful	милосердный (не gracious)
mercury	ртуть
mercy	милость
merely	единственно
mere	простой
merge	слиться 
merit	достоинство
merry	веселый, радостный
message	сообщение, поручение
messenger	посыльный, курьер
mess	беспорядок, путаница
metal	металл, металлический
meter	счетчик
method	метод
metropolitan	столичный
met	встречались, встреченный (от meet)
Mexican	мексиканец 
me	мне, меня
mice	мыши
microphone	микрофон
microscope	микроскоп
midday	полдень
middle	средний
midnight	полночь
midst	середина
mid	средний
mighty	могущественный
might	можно, возможно (от may)
mildred	милдред 
mild	мягкий (не soft)
miles	мили (от mile)
mile	миля
military	военный
milk	молоко
millet	просо, пшено
millions	миллионы 
million	миллион
mill	фабрика, завод, мельница
minded	склонный 
minds	ум (!NEW!)
mind	память, мнение, помнить, возражать
mineral	минeральный
mine	мой (употребляется без последующего существительного)
mingled	смешанный 
miniaturization	миниатюризация 
minims	мельчайшая частица, очень маленькая доля, капля 
minimum	минимум
mining	горный
minister	министр
ministry	министерство
minority	меньшинство
minor	младший, незначительный, второстепенный
mint	мята
minus	минус
minutes	минуты (от minute)
minute	минута
miracle	чудо
mirror	зеркало
mirth	веселье, радость
miscellaneous	смешанный, разнообразный
mischief	зло, беда
mischievous	злонамеренный, злобный, шаловливый, озорной
miserable	несчастный
misery	страдания, нищета
misfortune	несчастье
mishap	неудача (не unluck)
mislead	вводить в заблуждение
missing	недостающий, отсутствующий, пропавший (без вести)
missionary	миссионер
mission	миссия
miss	промах, промахнуться, пропустить, скучать
mistaken	ошибочный (от mistake)
mistake	ошибка
mistress	хозяйка, госпожа
misty	туманный
mist	дымка
mixture	микстура
mix	смешивать, мешать
mm	мм 
moaning	стенание
moan	оплакивать, стонать
mobile	подвижный
mob	толпа, сборище
mockery	издевательство
mock	насмехаться (не jeer)
model	модель
moderately	умеренно 
moderate	умеренный
modern	современный
modest	скромный
mode	способ
modification	модификация 
modified	видоизменённый (!NEW!)
modify	модифицировать
module	модуль 
moisture	влажность (не humidity)
moist	сырой, влажный
mole	крот
molly	молли 
momentary	мгновенный 
momentum	импульс
moment	момент, миг
monarch	монарх
Monday	понедельник
money	деньги
monkey	обезьяна
monks	монахи 
monotonous	однообразный, монотонный
monsieur	господин 
monsters	монстры 
monster	чудовище
monstrous	чудовищный
monthly	(еже)месячный, ежемесячно
months	месяцы (от month)
month	месяц
Monuments	памятники (от monument)
monument	памятник (не memorial)
mood	настроение
moonlight	лунный свет (!NEW!)
moon	луна
mop	швабра, подтирать
moral	нравственный
moreover	кроме того
more	еще, больше
morning	утро
morrow	завтра, завтрашний день; следующий день (!NEW!)
morsel	кусочек
mortal	смертный, смертельный (не lethal)
mortgage	заклад, залог
Morton	мортон 
Moscow	москва
mosquito	комар
mossy	мшистый
moss	мох
mostly	главным образом (не mainly)
most	самый, весьма
motel	мотель, гостиница
mother	мама
moth	моль, мотылек
motionless	неподвижный
motion	движение
motives	поводы 
motive	повод, мотив
motley	разноцветный, пестрый
motor	мотор
mould	плесень; плесенный грибок
mound	насыпь, холмик
mountain	гора
mount	взбираться
mournful	грустный
mourning	траур
mourn	сетовать
mouse	мышь
moustache	усы
mouth	рот
movements	движения 
movement	движение
move	двигать(ся), переезжать
movies	кино, фильмы (от movie)
movie	кино, фильм
moving	трогательный
mow	косить
Ms	госпожа 
much	много (с неисчисляемыми существительными)
muddy	грязный, мутный
mud	грязь
muffled	закутанный, укутанный, завёрнутый (не wrapped) (!NEW!)
muffler	шарф
muggy	теплый, влажный, удушливый
mug	кружка
mulberry	тутовое дерево 
mule	мул, тупица, гибрид, туфля без задников
multiple	многократный
multitude	множество
multi	много 
mumble	бормотание
mummy	мумия 
munch	чавкать
mural	стенная живопись, фреска
murderer	убийца
murder	убийство
murmur	шорох, шепот
muscles	мускулы 
muscle	мышца
muscular	мускулистый
museum	музей
musical	музыкальный, мюзикл
musician	музыкант
Music	музыка
must	должен, надо
mute	немой (не dumb)
mutiny	мятеж, поднять мятеж
muttered	бормотал 
muttering	бормотание
mutter	бормотать
mutton	баранина
mutual	взаимный, общий (не common)
muzzle	морда, намордник, дуло
myrtle	мирт 
myself	себя, меня самого, себе, сам
mysterious	таинственный
mystery	тайна
myth	миф
my	мой, моя, мое, мои
nab	курок
nails	ногти (от nail)
nail	ноготь, гвоздь
naive	наивный
naked	обнаженный, голый
namely	а именно
name	имя, фамилия, называть
nancy	нэнси 
nan	нэн 
napkin	салфетка, пеленка
napoleon	наполеон 
narrative	повествование, рассказ
narrow	узкий
nasty	скверный, плохой
national	национальный
nations	нации 
nation	нация, народ
natives	аборигены 
native	родной
naturalists	натуралисты 
naturalist	натуралист 
naturally	естественно
natural	естественный
nature	природа
Nat	нат 
naughty	непослушный
navigation	судоходство, плавание, навигация
navy	военный флот
nay	более того, даже; отрицательный ответ; отказ;
nearby	поблизости (nearby)
nearest	ближайший (от near)
nearly	почти, приблизительно (не almost)
near	близко от, около
neatly	аккуратно (!NEW!)
neat	чистый, опрятный
necessarily	обязательно
necessary	нужный, необходимый
necessity	необходимость
necklace	ожерелье
neck	шея
ned	нед 
needlework	шитье
needle	игла
need	нуждаться в, надо, нужда, потребность
negative	отрицательный, отрицание, негатив
neglected	пренебрег 
neglect	пренебрегать
negligence	небрежность
negotiate	договариваться
neighbourhood	соседство
neighbouring	соседний
neighbour	сосед
neither	также не
Nell	нелл 
nephew	племянник
nerves	нервы (от nerve)
nerve	нерв
nervous	нервный
nest	гнездо
network	сеть
net	сеть
neutral	нейтральный
nevertheless	тем не менее
never	никогда
newcomer	новичок (не beginner)
newly	вновь (не again)
newsletter	новости
newspapers	газеты (от newspaper)
newspaper	газета
news	новости, известия
new	новый
next	следующий, соседний, затем, потом
nicely	хорошо
nicer	лучше (от nice)
nicest	самый вкусный (от nice)
nice	хороший, чудесный, приятный
niche	ниша
nickel	никл (монета в 5 центов)
nickname	прозвище
nick	зарубка 
nieces	племянницы 
niece	племянница
nightingale	соловей
nightmare	кошмар
nights	ночи (от night)
night	ночь
nineteenth	девятнадцатый
nineteen	девятнадцать
ninety	девяносто
nine	девять
ninth	девятый
nip	укус, щипать, пересечь
nobleman	дворянин
nobles	знать (знатные люди) 
noble	благородный, знатный
nobody	никто
nodding	кивающий 
node	узел (не knot) 
nod	кивать головой, кивок
noiseless	бесшумный
noises	шумы 
noise	шум
noisy	шумный
none	нисколько, совсем не, вовсе не
nonsense	чепуха, ерунда
non	не
noon	полдень
normally	обычно
normal	нормальный
northern	северный
north	север
nor	и не, также не
nose	нос
nostrils	ноздри 
nostril	ноздря
notable	заметный
notably	исключительно
notebook	тетрадь
note	запись, записка, банкнота, записывать
nothing	ничто, ничего
notice	извещение, сообщение, замечать, обращать внимание
notify	извещать, уведомлять (не inform)
notions	понятия 
notion	понятие
notorious	известный, отъявленный
notwithstanding	несмотря на, тем не менее, однако
not	не
nourishing	питательный (
nourishment	питание, пища
novelty	новизна, новинка
novel	роман
November	ноябрь
nowadays	в наше время
nowhere	нигде, никуда
now	сейчас
no	нет, никакой
nuisance	досада
nulls	пустые указатели 
null	пустой указатель 
numbers	номера(числа) 
number	номер
numb	онемелый, оцепенелый (не dumb, )
numerals	числительные (от numeral)
numeric	числовой 
numerous	многочисленный
nursery	детский, ясли
nurse	няня (не nanny)
nurse	няня (не nanny)
nuts	орехи (от nut)
nut	орех
nylon	нейлон, нейлоновый
oak	дуб
oars	вёсла (!NEW!)
oar	весло
oath	клятва, присяга
obedience	послушание
obedient	послушный
obey	подчиняться, слушаться
objected	возразил (не retorted) 
objections	возражения (от objection)
objection	возражение, протест
objective	цель, стремление (
objects	объекты(цели) 
object	возражать, предмет
obligation	обязательство
obliged	обязан, признателен (от oblige)
oblige	обязывать
obscure	затемнять, затруднять понимание
observation	наблюдение, замечание
observed	наблюдаемый (!NEW!)
observer	наблюдатель
observe	наблюдать, замечать (не outlook)
obstacle	препятствие
obtained	полученный
obtain	добиваться
obviously	очевидно
obvious	очевидный
occasionally	изредка
occasional	случайный
occasioned	причиняемый 
occasion	случай, обстоятельство
occupation	занятие
occupied	занятый (!NEW!)
occupy	занимать, завоёвывать
occurrence	возникновение 
occurs	происходит 
occur	случаться
ocean	океан
October	октябрь
odds	разница, неравенство
odd	странный
odour	запах, аромат
offence	обида
offended	обиженный (!NEW!)
offend	обижать, обидеть
offensive	наступление
offering	предложение
offer	предлагать
officer	служащий, офицер
office	офис, контора
officially	официально
official	официальный, чиновник
offset	смещенный
offspring	потомство 
off	прочь, от
often	часто
of	предлог родительного падежа (кого?, чего?)
oh	O!
oil	масло
OK	все в порядке
oldest	старший, самый старый
old	старый
olive	олива, маслина; оливкового цвета
omelette	омлет
ominous	зловещий
omit	опускать, пропускать, упускать
once	один раз, однажды
oneself	(самого) себя
onion	лук
only	только, единственный
onto	на (не upon)
onward	вперед, далее, продвигающийся вперед
on	на, вперед, дальше
opened	открыл, открытый (от open)
opening	начало, открытие
openly	открыто
open	открывать
operate	действовать
operating	управляющий
operation	действие, операция
operative	действующий
operator	оператор
opera	опера
opinion	мнение
opponent	соперник
opportunity	возможность
opposed	противопоставленный 
opposite	противоположный
opposition	противодействие
oppressive	гнетущий, деспотический
optional	дополнительный 
options	выбора 
option	выбор
opt	выбирать
oranges	апельсины (от orange)
orange	апельсин, оранжевый
orchard	фруктовый сад
orchestra	партер, оркестр
ordered	приказал (от order)
orderly	аккуратный
order	порядок, приказ, заказ, заказывать, приказывать
ordinal	порядковый
ordinarily	обыкновенным, обычным путем; обычно; нормально; в обычной степени
ordinary	обычный, простой
organic	органический
organization	организация
organized	организовывал (от organize)
organizer	организатор
organize	организовывать
organs	органы 
organ	орган
oriental	восточный
originally	первоначально
original	оригинал, первоначальный
originate	возникать, происходить, давать начало, порождать; создавать
origin	происхождение
ornament	украшение, орнамент; украшать
orphan	сирота, сиротский
or	или
ostrich	страус
otherwise	иначе
other	другой
ought	долженствование
ourselves	себя, себе, сами
ours	наш
our	наш
outbreak	взрыв, вспышка, начало (войны и т.п.)
outcome	результат
outcry	крик, протест
outdoor	на открытом воздухе
outer	внешний
outfit	снаряжение, обмундирование, оборудование
outlaw	человек вне закона, изгнанник
outlet	выход, выходное отверстие
outline	контур, конспект, план, схема; краткое содержание
output	выпуск, продукция
outrage	нарушение закона, насилие, оскорблять
outright	открыто, прямо; без утайки (не straight, directly)
outside	снаружи, наружный
outskirts	окраина (города), опушка (леса)
outstanding	выдающийся
outward	внешний, наружный (не outside)
outwit	перехитрить
out	вне, вон, из, снаружи, наружный
oven	печь
overall	всеобщий
overcoat	пальто
overcome	преодолеть
overflow	переливаться через край, заливать, переполнять
overhead	наверху, над головой, верхний
overhear	подслушивать
overjoyed	вне себя от радости, очень довольный
overload	перегружать
overlook	надзирать
override	наехать, переехать; задавить отвергнуть 
overthrow	свергать
overtime	сверхурочные
overturn	опрокидывать(ся), ниспровергать
overwhelming	несметный
overwhelm	засыпать, забрасывать (вопросами), сокрушать
over	через, над, сверх
owen	оуэн 
owe	быть должным
owing	должный
owl	сова
ownership	собственность
owners	владельцы 
owner	владелец
own	иметь, владеть, свой, собственный
oxbow	ярмо
oxygen	кислород
ox	бык
oysters	устрицы (от oyster)
oyster	устрица
oz	унция 
pace	шагать
pacific	мирный
package	пакет
packet	пакет (не bundle)
pack	упаковывать, упаковать
paddle	короткое весло, грести одним веслом; шлепать по воде
padlock	висячий замок
pad	мягкая прокладка, подушка; подбивать (ватой и т.п.)
page	страница
paid	платил, оплаченный (от pay)
pail	ведро
painful	причиняющий боль, мучительный
pains	боли, страдания (от pain)
painter	художник
painting	живопись
paint	красить, краска
pain	боль, страдание
pairs	пары 
pair	пара
palace	дворец
pale	бледный
palm	ладонь
pal	приятель, товарищ, дружок
pamphlet	брошюра, памфлет
panel	комиссия
pane	оконное стекло
pang	острая боль
panic	паника
pantomime	пантомима 
pantry	кладовая, чулан (не closet)
pant	задыхаться (не gasp)
pan	сковорода
paper	бумага, газета
parade	парад
paragraph	параграф
parallel	параллельный
parameters	параметры 
parameter	параметр 
parcel	пакет
parchment	пергамент 
pardon	извинение
parents	родители (от parent)
parent	родитель, родственник
parked	припаркованный 
parking	стоянка
park	парк, (при)парковать(ся)
park	парк, (при)парковать(ся)
parliament	парламент
parlor	комната 
parlour	кабинет
parrots	попугаи 
parrot	попугай
parsley	петрушка (бот.)
parted	разделенный 
partially	частично 
partial	частичный
participate	участвовать
particles	частицы 
particularly	особенно, в особенности
particular	особый
parties	вечеринки (от party)
parting	прощание
partition	разделение
partly	частично
partner	участник
parts	части (от part)
party	вечеринка, группа
part	часть, доля, роль, делить, расставаться, расходиться
passages	проходы (!NEW!)
passage	проход
passed	прошел (от pass)
passengers	пассажиры 
passenger	пассажир
passing	прохождение
passionate	страстный
passion	страсть
passwords	пароли 
Password	пароль 
pass	передавать, проходить, пропуск, перевал
paste	тесто, клейстер, паста; клеить, склеивать
pasture	пастбище
past	после, за
patch	заплатка
pathetic	трогательный
paths	дорожки (не roads, lanes) 
path	тропинка, беговая дорожка
patience	терпение
patiently	терпеливо 
patient	пациент, терпеливый
patrol	патруль
patsy	паци 
patted	ласкал 
pattern	модель
pat	хлопок
Paul	пол (!NEW!)
pause	пауза
pausing	приостановка
pavement	тротуар (не sidewalk)
paws	лапы 
paw	лапа
paying	платеж
payment	плата
pay	платить, зарплата
peaceable	миролюбивый, мирный
peacefully	мирно
peaceful	мирный, спокойный
peace	мир
peaches	персики (от peach)
peach	персик
peacock	павлин
peak	вершина
peal	трезвон, раскат грома
peanut	земляной орех
Pearls	Жемчуг 
pearl	жемчуг, жемчужный
pears	груши (от pear)
pear	груша
peas	горошек, горох
pea	горох
pebble	галька, горный хрусталь
peck	клевать
peculiarities	особенности 
peculiar	особенный
pedal	педаль
pedestrian	пешеход
pedestrian	пешеход
peeks	(он) посмотрит
peel	чистить, почистить
peep	проблеск, выглядывать
peered	глядел
peering	глядя
peer	вглядываться, всматриваться
peeves	обиды 
peg	целиться
pencil	карандаш
pending	во время, в течение
penetrate	проникать внутрь
penholder	ручка (для пера)
penknife	перочинный нож
penny	пенни
pensioner	пенсионер
pen	ручка
people	люди
pepper	перец
perceived	воспринятый 
perceive	воспринимать, ощущать
percent	процент
percy	перси 
perfection	совершенство
perfectly	совершенно, вполне
perfect	совершенный
performance	спектакль
performed	выполненный (не от слова fulfil) 
perform	делать, выполнять
perfume	духи
perhaps	возможно, может быть
perilous	опасный, рискованный
peril	опасность
periodic	периодический
periods	периоды 
period	период
permanently	постоянно
permanent	постоянный
permissible	допустимый
permission	разрешение
permitted	разрешенный 
permit	разрешать
perpendicular	перпендикулярный
perpetual	вечный, постоянный
perry	перри 
persecution	преследование
perseverance	настойчивость, упорство
persian	персидский 
persistent	настойчивый
personally	лично
personal	личный
persons	люди 
person	человек, особа, лицо, личность
perspective	перспектива, перспективный
persuaded	убежденный (не convinced) 
persuade	убеждать
perverse	извращенный, испорченный, превратный
per	в
pest	паразит, вредитель, бич
peter	питер 
petition	петиция, прошение, подавать петицию
petrol	бензин
pets	домашние животные (от pet)
pet	любимое домашнее животное, любимец
phantom	фантом 
phase	фаза, фазировать
Philadelphia	филадельфия 
philip	филип 
philosophical	философский
philosophy	философия
phone	телефон
phosphate	фосфат 
photographer	фотограф
photographer	фотограф
photographic	фотографический
photographing	фотографирование
photography	фотография
photograph	фотография, фотографировать
photo	фотография
phrase	фраза
physically	физически
physical	физический
physician	врач
piano	пианино
picked	собранный, выбранный (!NEW!)
pickles	маринованные огурцы
pick	собирать, подбирать, выбирать
picnic	пикник
picturesque	живописный
pictures	картины (от picture)
picture	картина, изображение, рисовать, описывать
piece	кусок
pierce	пронзать, протыкать, пронизывать, проникать
pier	пристань, мол, свая, бык
pie	пирог
pigeons	голуби 
pigeon	голубь
pigs	свиньи 
pig	свинья
pike	щука (не lung)
piled	сложенный 
pile	куча, груда, кипа, пачка
pillar	колонна, столб
pillow	подушка
pills	таблетки (от pill)
pilot	пилот
pilot	пилот
pincers	клещи, щипцы
pinching	зажимание
pinch	щипать, прищемить, щипок
pineapple	ананас
pine	сосна
pink	розовый
pins	значки (от pin)
pin	булавка, значок, прикалывать
pious	набожный
pipe	труба (не tube)
pirate	пират
pistol	револьвер, пистолет
pitched	переданный 
pitcher	подающий
pitch	бросок, уровень, сооружать
piteous	жалкий, жалобный
pitiful	жалкий, ничтожный
pity	жалость
