a barber; hairdressing	理发 lǐ fà 
prestige; distinction; reputation; trust	信誉 xìn yù 
prestige	威望 wēi wàng 
pretty; beautiful	漂亮 piào liang 
prevention and cure	防治 fáng zhì 
previously; formerly; once upon a time	从前 cóng qián 
price; CL:个	价格 jià gé 
price; cost; consideration (in share dealing)	代价 dài jià 
pride; to be proud of sth (in a good way)	自豪 zì háo 
prince; son of a king	王子 wáng zǐ 
princess	公主 gōng zhǔ 
principle; doctrine; CL:个	原则 yuán zé 
principle; theory	原理 yuán lǐ 
priority	优先 yōu xiān 
prison	监狱 jiān yù 
private (citizen); private	私人 sī rén 
private; personal; secretly; without explicit approval	私自 sī zì 
privilege; right; power	权利 quán lì 
procedures; sequence; order; computer program	程序 chéng xù 
procession	行列 háng liè 
professor; to instruct; to lecture on; CL:个,位[wei4]	教授 jiào shòu 
proficient	精通 jīng tōng 
profit; gain	盈利 yíng lì 
profits	利润 lì rùn 
profound; abstruse; recondite; profoundly	深奥 shēn ào 
profound; deep; deep-going	深刻 shēn kè 
profound friendship	深情厚谊 shēn qíng hòu yì 
profound mystery	奥秘 ào mì 
program; guiding principle	纲领 gāng lǐng 
program; item (on a program); CL:台[tai2] ,个,套[tao4]	节目 jié mù 
progress; improvement; to improve; to progress; CL:个	进步 jìn bù 
progressively; step by step	逐步 zhú bù 
prominent; outstanding; to give prominence to; to protrude; to project	突出 tū chū 
promise; prospects; future	出息 chū xi 
promptly; at once	连忙 lián máng 
(pron) everyone; Ladies and Gentlemen; Sirs	诸位 zhū wèi 
proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of; CL:个	证明 zhèng míng 
property; assets; estate; CL:笔[bi3]	财产 cái chǎn 
property; assets	资产 zī chǎn 
property; real estate; property management;	物业 wù yè 
proportion; scale	比例 bǐ lì 
proportion; specific gravity	比重 bǐ zhòng 
proposal; suggestion; to propose; to suggest	提议 tí yì 
propriety; appropriate behavior; proper speech or action; within the norms	分寸 fēn cun 
pros and cons; advantages and disadvantages; gains and losses	利害 lì hài 
prose; essay	散文 sǎn wén 
prosperous; booming (economy)	繁荣 fán róng 
prosperous; thriving; to prosper; to flourish	兴旺 xīng wàng 
prosperous	昌盛 chāng shèng 
protective screen	屏障 píng zhàng 
protein	蛋白质 dàn bái zhì 
protest	抗议 kàng yì 
proud of oneself; pleased with oneself; complacent	得意 dé yì 
provide assistance; aid	协助 xié zhù 
provided that; supposing that; if;	倘若 tǎng ruò 
provincial capital	省会 shěng huì 
publication	刊物 kān wù 
publicly known (to be); accepted (as)	公认 gōng rèn 
public opinion	舆论 yú lùn 
public park; CL:场[chang3]	公园 gōng yuán 
public relations	公关 gōng guān 
Public Security Bureau	公安局 gōng ān jú 
public; to publish; to make public	公开 gōng kāi 
punctuation; a punctuation mark; to punctuate; CL:个	标点 biāo diǎn 
punishment; penalty; to punish	惩罚 chéng fá 
pure; clean and honest; to purify	纯洁 chún jié 
purely	纯粹 chún cuì 
purple; violet; amethyst; Lithospermum erythrorhizon (flowering plant whose root provides red purple dye); Japanese: murasaki	紫 zǐ 
purpose; aim; goal; target; objective; CL:个	目的 mù dì 
put an end to	杜绝 dù jué 
put emphasis on; to stress; to emphasize	着重 zhuó zhòng 
puzzled; bewildered	纳闷儿 nà mèn r 
qigong, a system of deep breathing exercises	气功 qì gōng 
qualifications; seniority	资格 zī gé 
qualified; meeting a standard; eligible (voter)	合格 hé gé 
quality; mass (in physics); CL:个	质量 zhì liàng 
quality	品质 pǐn zhì 
quantifier for the number of trips or runs made	趟 tàng 
quantity; amount; CL:个	数量 shù liàng 
quarter (finance, publishing, schools etc); season (sports); period of three months	季度 jì dù 
quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals	刻 kè 
(question particle for subjects already mentioned)	呢 ne 
question; problem; issue; topic; CL:个	问题 wèn tí 
(question tag)	吗 ma 
quick-witted; tact; witty; resourceful	机智 jī zhì 
quiet; peaceful; calm	安静 ān jìng 
quiet	寂静 jì jìng 
quilt; CL:床[chuang2]	被子 bèi zi 
race; competition; CL:个	竞赛 jìng sài 
race; ethnicity	种族 zhǒng zú 
radar (loanword)	雷达 léi dá 
radiance; glory; brilliant; magnificent	光辉 guāng huī 
radiation	辐射 fú shè 
radio; CL:台[tai2]	收音机 shōu yīn jī 
(railway) train;	列车 liè chē 
rainbow	彩虹 cǎi hóng 
ranks; troops; CL:个	队伍 duì wu 
rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant	快 kuài 
rapid; speedy; fast	迅速 xùn sù 
rapid; sudden	急剧 jí jù 
rare and commendable; estimable	难能可贵 nán néng kě guì 
rare; precious and uncommon	珍稀 zhēn xī 
rare; rarely seen	罕见 hǎn jiàn 
rather than...; 與与其 A 不如 B (rather than A, better to B)	与其 yǔ qí 
rational; reasonable; fair	合理 hé lǐ 
rat; mouse; CL:只[zhi1]	老鼠 lǎo shǔ 
raw material; CL:个	原料 yuán liào 
rays of light; brilliant rays; radiance	光芒 guāng máng 
(reach) an understanding	谅解 liàng jiě 
read aloud; read loudly and clearly	朗读 lǎng dú 
ready-made; readily available	现成 xiàn chéng 
reality; actuality; real; actual; CL:个	现实 xiàn shí 
really; indeed	的确 dí què 
really isn't	并非 bìng fēi 
really; truly; indeed; real; true; genuine	真 zhēn 
real; pure; genuine; typical; well-done; thorough	地道 dì dao 
rear; back; behind; later; afterwards	后面 hòu miàn 
reason; argument; sense; principle; basis; justification; CL:个	道理 dào lǐ 
reason; cause	缘故 yuán gù 
reason; grounds; justification; CL:个	理由 lǐ yóu 
reasoning; speculative; inference	推理 tuī lǐ 
reason; intellect; rationality	理智 lǐ zhì 
reason; sense	情理 qíng lǐ 
receipt; CL:张[zhang1]	收据 shōu jù 
recently; lately	近来 jìn lái 
recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes)	最近 zuì jìn 
receptacle; vessel	容器 róng qì 
recite; repeat from memory	背诵 bèi sòng 
reconciled; smooth	熨 yù 
record (sports, written account); note	纪录 jì lù 
recruitment; to invite applications for a job	招聘 zhāo pìn 
red; bonus; popular; revolutionary	红 hóng 
red clouds	霞 xiá 
reference; to consult; to refer; consultation	参考 cān kǎo 
refined; educate; cultured; intellectual; polite; gentle	斯文 sī wen 
refreshed; rejuvenated; frank and straightforward	爽快 shuǎng kuài 
regarding; as far as sth is concerned; with regards to	对于 duì yú 
regeneration through one's own effort (idiom); self-reliance	自力更生 zì lì gēng shēng 
regime; (wield) political power	政权 zhèng quán 
regional; local; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:个	地区 dì qū 
region; regional (away from the central administration)	地方 dì fang 
regular; according to standards	正规 zhèng guī 
regular and thorough (idiom); methodically arranged	有条不紊 yǒu tiáo bù wěn 
regularly; at regular intervals	定期 dìng qī 
regular; normal; ordinary	正常 zhèng cháng 
regulation; rule; rules and regulations	规则 guī zé 
relationship (network); relation; to concern; to affect; to have to do with; guanxi; CL:个	关系 guān xì 
relation; to connect; to relate to; to tie up; to bind; department	系 xì 
relatively; opposite; to resist; to oppose; relative; vis-a-vis	相对 xiāng duì 
reliable	可靠 kě kào 
religion	宗教 zōng jiào 
reluctant to leave; to hate to have to go; to recall fondly	留恋 liú liàn 
remarkable; outstanding	出色 chū sè 
remedy	补救 bǔ jiù 
remember with concern; worry about	惦记 diàn jì 
remorse; repentance	悔恨 huǐ hèn 
remote control	遥控 yáo kòng 
remote; desolate; far from the city	偏僻 piān pì 
remuneration; reward	报酬 bào chou 
Renminbi (RMB); Chinese Yuan (CNY)	人民币 rén mín bì 
repeatedly; over and over	反复 fǎn fù 
repeatedly; time and again	屡次 lv3 cì 
repeatedly	一再 yí zài 
reporter; journalist; CL:个	记者 jì zhě 
report; to report (new); CL:篇[pian1] ,份[fen4]	报道 bào dào 
representative; delegate; to represent; to stand for; on behalf of; in the name of; CL:位[wei4],个, 名[ming2]	代表 dài biǎo 
republic	共和国 gòng hé guó 
repulsive; vile; hateful; abominable	可恶 kě wù 
reputation; fame	声誉 shēng yù 
request sb to do sth; please!	拜托 bài tuō 
requirement; demand (economics)	需求 xū qiú 
rescue	抢救 qiǎng jiù 
research; a study; CL:項|项[xiang4];	研究 yán jiū 
residence; tenement	住宅 zhù zhái 
resident; inhabitant;	居民 jū mín 
resources (natural, manpower etc)	资源 zī yuán 
respect; aspect; field; side; CL:个	方面 fāng miàn 
respond to; answer; CL:个	响应 xiǎng yìng 
responsibility; blame; duty; CL:个	责任 zé rèn 
restaurant; hotel; CL:家[jia1],個|个[ge4];	饭店 fàn diàn 
restoration	修复 xiū fù 
rest; to rest	休息 xiū xi 
result; achievement; gain; profit; CL:个	成果 chéng guǒ 
result; effect; quality; CL:个	效果 xiào guǒ 
result; outcome; effect; in the event; so that	结果 jié guǒ 
retirement (from work)	退休 tuì xiū 
reverse side of sth; opposite side of some topic; the other side	反面 fǎn miàn 
revolution; revolutionary (politics); CL:次[ci4]	革命 gé mìng 
reward (as encouragement)	奖励 jiǎng lì 
reward; prize; an award	奖赏 jiǎng shǎng 
rhyming couplet; pair of lines of verse written vertically down the sides of a doorway; CL:幅[fu2]	对联 duì lián 
rhythm; tempo; musical pulse; cadence; beat	节奏 jié zòu 
rice crops	稻谷 dào gǔ 
rice; meter (classifier); CL:粒[li4]	米 mǐ 
rich; plentiful; abundant	丰富 fēng fù 
rich; substantial; enrich; substantiate	充实 chōng shí 
rich; sumptuous	丰盛 fēng shèng 
rich; surname Fu	富 fù 
riddle; conundrum	谜语 mí yǔ 
right and wrong; quarrel	是非 shì fēi 
right away; at once; immediately; lit. on horseback	马上 mǎ shàng 
right; correct	对 duì 
right side; right, to the right	右边 yòu bian 
risk; venture; hazard	风险 fēng xiǎn 
road; path; way; CL:条[tiao2]	路 lù 
roar of laughter (onomatopoeia); hubbub; to roar (as a crowd)	哄 hōng 
roar or howl of an animal; bellow of rage	吼 hǒu 
roast duck	烤鸭 kǎo yā 
robust; strong	健全 jiàn quán 
rock and roll (music); to shake and boil	摇滚 yáo gǔn 
rocket; CL:枚[mei2]	火箭 huǒ jiàn 
rock	岩石 yán shí 
rogue; hoodlum; gangster; immoral behavior	流氓 liú máng 
romance; love (romantic); CL:个	爱情 ài qíng 
(romantic) love; in love; to have an affair; CL:个	恋爱 liàn ài 
romantic	浪漫 làng màn 
room; CL:间[jian1]	房间 fáng jiān 
root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:条[tiao2]; radical (chemistry)	根 gēn 
rope; string; cord; CL:条[tiao2]	绳子 shéng zi 
rotten; decayed; decadent; degenerate	腐朽 fǔ xiǔ 
rough draft; material contributing to a final document	稿件 gǎo jiàn 
roughly; probably; rough; approximate; about	大概 dà gài 
round; circular; group; society; regiment	团 tuán 
round segment; segment (of annelid worms); connection; link; sector; annular ring	环节 huán jié 
rubber; an eraser; CL:块[kuai4]	橡皮 xiàng pí 
rubbish bin	垃圾桶 lā jī tǒng 
rugged; sturdy	结实 jiē shi 
ruins	废墟 fèi xū 
rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline	规律 guī lv4 
rule; regulation	规章 guī zhāng 
rule; ruler (measuring instrument); CL:把[ba3]	尺子 chǐ zi 
rules; regulations; constitution; statute; articles of association (of company); articles of incorporation; charter (of a corporation); by-laws	章程 zhāng chéng 
rumble; noise; static	噪音 zào yīn 
rumor	谣言 yáo yán 
rural area; village; CL:个	农村 nóng cūn 
rush about; be busy running about	奔波 bēn bō 
safe and sound; well; without mishap; quiet and safe; at peace;	平安 píng 'ān 
safe; secure; safety; security	安全 ān quán 
salary; wage	薪水 xīn shuǐ 
sales counter; front desk; bar	柜台 guì tái 
salesperson; CL:个	售货员 shòu huò yuán 
salt; CL:粒[li4]	盐 yán 
salty	咸 xián 
salute	敬礼 jìng lǐ 
same; like; equal to; the same as; just like	一样 yī yàng 
sample; specimen	样品 yàng pǐn 
satisfactory	圆满 yuán mǎn 
satisfied; pleased; to one's satisfaction	满意 mǎn yì 
satisfied with what one has (idiom)	知足常乐 zhī zú cháng lè 
saturation	饱和 bǎo hé 
sausage; CL:根[gen1];	香肠 xiāng cháng 
saving; to save; to use sparingly; to cut down on	节省 jié shěng 
(saying) meticulous planning and careful accounting	精打细算 jīng dǎ xì suàn 
(saying) the gains do not make up for the losses	得不偿失 dé bù cháng shī 
(saying) to sum it up...	归根到底 guī gēn dào dǐ 
scale; scope; extent; CL:个	规模 guī mó 
scarf; shawl; CL:条[tiao2]	围巾 wéi jīn 
scar	疤 bā 
scatter; disperse; distribute	分散 fēn sàn 
scene; occasion	场面 chǎng miàn 
scenery; landscape; CL:个	风景 fēng jǐng 
scenery; scene; landscape; view	景色 jǐng sè 
scene; sight; circumstances; CL:个	情景 qíng jǐng 
scene; view; sight; landscape; to be well-regarded; to be well-off; grand (topolect); impressive (topolect)	风光 fēng guāng 
scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship	航班 háng bān 
schedule; itinerary; CL:个	日程 rì chéng 
school assignment; homework; work; task; operation; to operate; CL:个	作业 zuò yè 
school; CL:所[suo3]	学校 xué xiào 
school term; semester; CL:个	学期 xué qī 
science; scientific knowledge; scientific; CL:门[men2] ,个,种[zhong3]	科学 kē xué 
scissors; CL:把[ba3]	剪刀 jiǎn dāo 
scoop; ladle; CL:把[ba3]	勺子 sháo zi 
screen (TV, computer or movie);	屏幕 píng mù 
script for play, opera, movie etc; screenplay	剧本 jù běn 
seafood	海鲜 hǎi xiān 
seal up	密封 mì fēng 
seat; base; stand; classifier for buildings, mountains and similar immovable objects; CL:个	座 zuò 
secondary; auxiliary; deputy; assistant; vice-; abbr. for 副副词 adverb; classifier for pairs	副 fù 
secondary	次要 cì yào 
second in order; second of 10 heavenly stems 十天干; letter 'B' or roman 'II' in list 'A, B, C', or 'I, II, III' etc; second party (in legal contract, usually 乙方[yi3 fang1] , as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)	乙 yǐ 
second (of time); unit of angle or arc equivalent to one sixtieth of a degree	秒 miǎo 
second place (in a sports contest); runner-up	亚军 yà jūn 
secretary; clerk; CL:个	书记 shū ji 
secretary	秘书 mì shū 
secret; classified (information)	机密 jī mì 
secret; CL:个	秘密 mì mì 
secrete	分泌 fēn mì 
secrets; something one hopes to conceal	隐私 yǐn sī 
section; fragment; segment;	片断 piàn duàn 
seed; CL:颗[ke1] ,粒[li4]	种子 zhǒng zi 
seeking instant benefit (idiom); shortsighted vision, looking only for fast return	急功近利 jí gōng jìn lì 
seems as if; rather like;	似的 shì de 
seldom; rare; hard to come by	难得 nán dé 
selfish; selfishness; self-centred	自私 zì sī 
self; (reflexive pronoun); own	自己 zì jǐ 
senior (in terms of depth of accumulated experience); deeply qualified	资深 zī shēn 
sensation; stir	轰动 hōng dòng 
sense of smell	嗅觉 xiù jué 
sensible; wise; judicious; sagacious;	明智 míng zhì 
sensitive; susceptible; politically sensitive (pretext for censorship)	敏感 mǐn gǎn 
sentence; CL:个	句子 jù zi 
sepulcher; tomb	坟墓 fén mù 
sequence; order	次序 cì xù 
sequence; order	顺序 shùn xù 
serene	安详 ān xiáng 
series	系列 xì liè 
serious; severe; critical; grave	严重 yán zhòng 
serious	郑重 zhèng zhòng 
setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue	挫折 cuò zhé 
seven; 7	七 qī 
severe; strict	严厉 yán lì 
sex appeal; eroticism; sexuality; sexy	性感 xìng gǎn 
shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art	太极拳 tài jí quán 
shadow; reflection; indication; influence; CL:个	影子 yǐng zi 
shallow, not deep; superficial	浅 qiǎn 
shape; form; pattern; morphology	形态 xíng tài 
shape; outer appearance; form; CL:个	形式 xíng shì 
shareholder; stockholder	股东 gǔ dōng 
share; stock (market)	股票 gǔ piào 
sharp (e.g. knife blade); incisive; to the point	锋利 fēng lì 
sharp; intense; penetrating; pointed; acute (illness)	尖锐 jiān ruì 
sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best	尖端 jiān duān 
sheet (bed); CL:条[tiao2] ,件[jian4] ,张[zhang1] ,床[chuang2]	床单 chuáng dān 
shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written	贝壳 bèi ké 
she	她 tā 
shift in the trend of events; plot shift in a book; twists and turns	转折 zhuǎn zhé 
shine; illuminate	照耀 zhào yào 
shipping; boats	船舶 chuán bó 
shirt; blouse; CL:件[jian4]	衬衫 chèn shān 
shopping	购物 gòu wù 
shore; bank; beach; coast; CL:個|个[ge4]	岸 àn 
shore; seaside	海滨 hǎi bīn 
shortage; be lacking; to be short of; to lack; scarcity	缺乏 quē fá 
short in time; fleeting; brief	短促 duǎn cù 
short or brief; to lack; weak point; fault	短 duǎn 
short period of time; a moment	片刻 piàn kè 
shoulder	肩膀 jiān bǎng 
sight; vision; view; gaze; look	目光 mù guāng 
signal	信号 xìn hào 
sign; mark; symbol; symbolize; to indicate; to mark	标志 biāo zhì 
sign; mark; symbol; to mark up	标记 biāo jì 
silk cloth; silk	丝绸 sī chóu 
silly; stupid	愚蠢 yú chǔn 
silver; silver-colored; relating to money or currency	银 yín 
similar; analogous	类似 lèi sì 
similar to; appearing to be	犹如 yóu rú 
simple and crude (of a room or building)	简陋 jiǎn lòu 
simple; not complicated	简单 jiǎn dān 
simple; pure; alone; merely	单纯 dān chún 
simplified Chinese character, as opposed to traditional Chinese character 繁体字[fan2 ti3 zi4]	简体字 jiǎn tǐ zì 
simplify	简化 jiǎn huà 
simply; at all; practically	简直 jiǎn zhí 
since (a previous event)	以来 yǐ lái 
since; as; this being the case	既然 jì rán 
since (a time); ever since	自从 zì cóng 
sincere; cordial	诚挚 chéng zhì 
sincere; honest; cordial	诚恳 chéng kěn 
sincere; sincerity	真挚 zhēn zhì 
single; one-only	只 zhǐ 
single sail, gentle wind (idiom); plain sailing; to go smoothly	一帆风顺 yì fān fēng shùn 
sing the praises of; extol; eulogize	歌颂 gē sòng 
situation; existing state of affairs	事态 shì tài 
situation; occasion	场合 chǎng hé 
situation; state (of affairs)	局势 jú shì 
six; 6	六 liù 
skill; ability; capability; CL:项[xiang4] ,个	本领 běn lǐng 
skill; art; kung fu; labor; effort	功夫 gōng fu 
skill; technique	技巧 jì qiǎo 
skin; CL:种[zhong3]	皮肤 pí fū 
skirt; CL:条[tiao2]	裙子 qún zi 
sky	天空 tiān kōng 
slag (in mining or smelting); dregs	渣 zhā 
slander; libel	诽谤 fěi bàng 
slander	污蔑 wū miè 
slave	奴隶 nú lì 
slim; slender; graceful	苗条 miáo tiáo 
slope; CL:个	坡 pō 
slow and patient; chronic (disease); slow to take effect (e.g. a slow poison)	慢性 màn xìng 
slow in one's reactions; sluggish (in movement or thought);	迟钝 chí dùn 
slow; sluggish	迟缓 chí huǎn 
slow-witted; blockhead; log (of wood, timber etc); CL:块[kuai4] ,根[gen1]	木头 mù tou 
slow	慢 màn 
(small) bell; CL:只[zhi1]	铃 líng 
small; tiny; young	小 xiǎo 
smart; clever; sensitive; keen; quick; sharp	灵敏 líng mǐn 
smash; smashed; to fail; to get it wrong	砸 zá 
smile; CL:个	微笑 wēi xiào 
smoke from kitchen chimneys;	炊烟 chuī yān 
smoothly; without a hitch	顺利 shùn lì 
snack; refreshments; CL:家[jia1]	小吃 xiǎo chī 
snake; serpent; CL:条[tiao2]	蛇 shé 
snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean CL:场[chang2]	雪 xuě 
soap; CL:块[kuai4] ,条[tiao2]	肥皂 féi zào 
so as not to; so as to avoid	免得 miǎn de 
soccer fan; crazy about ball sports; CL:个	球迷 qiú mí 
social custom; CL:个	风俗 fēng sú 
social niceties; social interaction; a dinner party	应酬 yìng chou 
society; CL:个	社会 shè huì 
socket; outlet;	插座 chā zuò 
socks; stockings; CL:只[zhi1] ,对[dui4] ,双[shuang1]	袜子 wà zi 
sofa; CL:条[tiao2] ,张[zhang1]	沙发 shā fā 
so far; up to now; still (not)	迄今为止 qì jīn wéi zhǐ 
soft; flexible	软 ruǎn 
soil	土壤 tǔ rǎng 
soldier; CL:个	士兵 shì bīng 
solemn; solemnity	严肃 yán sù 
sole; only	唯一 wéi yī 
solid	固体 gù tǐ 
some; few; several; (a measure word)	些 xiē 
so much so that; even	甚至 shèn zhì 
son	儿子 ér zi 
sooner or later	迟早 chí zǎo 
sorry; We apologize!; to feel apologetic; to regret	抱歉 bào qiàn 
so that; so as to; in order to	以便 yǐ biàn 
soul; spirit	灵魂 líng hún 
sound of activity or people talking; news of activity	动静 dòng jìng 
soup; broth; hot water	汤 tāng 
source (of information etc); origin	来源 lái yuán 
sour; tart; sick at heart; grieved; sore; aching; acid	酸 suān 
south	南 nán 
sovereignty	主权 zhǔ quán 
soy sauce	酱油 jiàng yóu 
space (astronomy); CL:个	空间 kōng jiān 
space flight	航天 háng tiān 
(space) satellite; CL:颗[ke1]	卫星 wèi xīng 
spacious and well-lit; open and clear; to open out (onto a wider vista); optimistic; cheerful; carefree; easy-going; open-minded	开朗 kāi lǎng 
spacious; wide	宽敞 kuān chang 
speakers or speaker (electronic); acoustics; sound field (in a room or theater)	音响 yīn xiǎng 
specialist; specialized; customized	专门 zhuān mén 
specially; intentionally	特意 tè yì 
special; particular; unusual; extraordinary	特殊 tè shū 
special-purpose trip	专程 zhuān chéng 
special; specific; designated; particular	特定 tè dìng 
special topic	专题 zhuān tí 
specialty; specialized field; main field of study (at university); major; professional; CL:门[men2] ,个	专业 zhuān yè 
specialty; special knowledge or ability	专长 zhuān cháng 
specimen; sample; the root cause and symptoms of a disease	标本 biāo běn 
spectacles; eyeglasses; CL:副[fu4]	眼镜 yǎn jìng 
spectacular; magnificent sight	壮观 zhuàng guān 
spectators; audience; visitors (to an exhibition etc)	观众 guān zhòng 
speculation; to conjecture; to surmise; to speculate	推测 tuī cè 
speech; expression of opinion; public opinion	言论 yán lùn 
speed; rate; velocity; CL:个	速度 sù dù 
spinning and weaving	纺织 fǎng zhī 
spirit; boldness; positive outlook; imposing attitude	气魄 qì pò 
spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:个	精神 jīng shén 
splash	溅 jiàn 
splendid; brilliant	精彩 jīng cǎi 
splendid; glorious	辉煌 huī huáng 
spontaneous	自发 zì fā 
sports; physical education	体育 tǐ yù 
spot; colored patch; stripe; spotted; striped; variegated;	斑 bān 
spring (time); gay; joyful; youthful; love; lust; life	春 chūn 
sprout; germ of a plant	萌芽 méng yá 
(spy) intelligence; information-gathering	情报 qíng bào 
spy	间谍 jiàn dié 
square (as in square foot, square mile, square root)	平方 píng fāng 
square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter	方 fāng 
staff; crew; personnel; CL:个	人员 rén yuán 
staff officer; to give advice	参谋 cān móu 
staff; personnel; employee;	员工 yuán gōng 
stage; section; phase; period; CL:个	阶段 jiē duàn 
stagnation; at a standstill; bogged down	停滞 tíng zhì 
stalk; stem; CL:条[tiao2]	茎 jīng 
standard; norm; specification	规格 guī gé 
star; celebrity	明星 míng xīng 
stark; stiff	僵硬 jiāng yìng 
State Council (PRC); State Department (USA)	国务院 guó wù yuàn 
stately	庄严 zhuāng yán 
statement; declaration; CL:项[xiang4] ,份[fen4]	声明 shēng míng 
state of affairs; state; mode; situation; CL:个	状态 zhuàng tài 
stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)	文具 wén jù 
station; to stand; to halt; to stop; branch of a company or organisation	站 zhàn 
statistics; to count; to add up	统计 tǒng jì 
stature; build (height and weight); figure	身材 shēn cái 
status; capacity; dignity; position; rank; identity	身份 shēn fèn 
staunch; strong	坚强 jiān qiáng 
steady; calm and collected; not nervous	沉着 chén zhuó 
steady; stable; stability; to stabilize; to pacify	稳定 wěn dìng 
stealthily; quietly; secretly;	悄悄 qiāo qiāo 
steamed roll; steamed bun; steamed bread; CL:个	馒头 mán tou 
steamed stuffed bun; CL:个	包子 bāo zi 
steamship; CL:艘[sou1]	轮船 lún chuán 
steel; strong; firm; staunch	钢铁 gāng tiě 
steelyard; Roman balance; CL:台[tai2]	秤 chèng 
stench; stink; smelly; to smell (bad)	臭 chòu 
step; move; measure	步骤 bù zhòu 
still (remaining); to remain (the same); yet	仍旧 réng jiù 
still; yet; even more; still more; also; too; as well	还 hái 
still; yet	仍然 réng rán 
stingy; mean; miserly	吝啬 lìn sè 
stingy; petty; miserly; narrow-minded	小气 xiǎo qi 
stirring up trouble; to invite disaster	惹祸 rě huò 
stockpile; to store; to stockpile; storage	储存 chǔ cún 
stomach; CL:个	胃 wèi 
stone; CL:块[kuai4]	石头 shí tou 
stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking	闭塞 bì sè 
store; shop; CL:家[jia1] ,个[ge4]	商店 shāng diàn 
storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)	风暴 fēng bào 
story; tale; narrative	故事 gù shi 
stove	炉灶 lú zào 
straightforward; clear-cut; blunt (e.g. statement); you might as well; simply	干脆 gān cuì 
straight (in a straight line); continuously; always; from the beginning of... up to...; all along	一直 yī zhí 
strange; odd	奇怪 qí guài 
strange; unfamiliar	陌生 mò shēng 
strategic decision; decision-making; policy decision; to determine policy	决策 jué cè 
strategy	战略 zhàn lvè 
street; CL:条[tiao2]	街道 jiē dào 
strength; CL:把[ba3]	力气 lì qi 
strength	实力 shí lì 
strictly prohibit	严禁 yán jìn 
strict; stringent; tight; rigorous	严格 yán gé 
strict; tight (organization, surveillance etc)	严密 yán mì 
strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)	条 tiáo 
striving to be first and fearing to be last (idiom); outdoing one another	争先恐后 zhēng xiān kǒng hòu 
strong and solid; rich (resources)	雄厚 xióng hòu 
strong; solid; sturdy; firm; practical	扎实 zhā shi 
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;	得 de 
structure; composition; makeup; architecture; CL:座[zuo4] ,个	结构 jié gòu 
structure; pattern; layout	格局 gé jú 
stubborn; obstinate; unbending;	倔强 jué jiàng 
stubborn; obstinate	顽固 wán gù 
student; school child	学生 xué sheng 
stuffing; filling, e.g. in 包子[bao3 zi5] or 饺子[jiao3 zi5]	馅儿 xiàn r 
stupid; foolish; silly; slow-witted; clumsy	笨 bèn 
style; maneer; mode	风格 fēng gé 
style of work; way; style	作风 zuò fēng 
subject; course; class; lesson; CL:堂[tang2] ,节[jie2] ,门[men2]	课 kè 
subjective	主观 zhǔ guān 
subject matter	题材 tí cái 
subject (of a talk or conversation); topic	话题 huà tí 
subject; title; topic; CL:个	题目 tí mù 
subject	科目 kē mù 
submit an expense account; apply for reimbursement; write-off; wipe out	报销 bào xiāo 
subordinate; underling	下属 xià shǔ 
subsidiary; auxiliary; attached; affiliated; subordinate; subordinating	附属 fù shǔ 
substance; essence	实质 shí zhì 
substandard products; defective; seconds	次品 cì pǐn 
suburban district; outskirts; suburbs; CL:个	郊区 jiāo qū 
subway; metro	地铁 dì tiě 
successive generations; successive dynasties; past dynasties	历代 lì dài 
successive years; over many years	连年 lián nián 
success; to succeed; CL:次[ci4] ,个	成功 chéng gōng 
sudden; abrupt; unexpected	突然 tū rán 
suddenly; all of a sudden	忽然 hū rán 
(suffer from) insomnia	失眠 shī mián 
sufficient to...; so much so that; so that	足以 zú yǐ 
sugar; sweets; candy; CL:颗[ke1] ,块[kuai4]	糖 táng 
suitable; appropriate	适宜 shì yí 
suitable; fitting; decent; to fit	合适 hé shì 
