ability; competence	才干 cái gàn 
outstanding; notable; remarkable	显著 xiǎn zhù 
outward-looking; extrovert; extroverted (personality); export-oriented (economy)	外向 wài xiàng 
oval; ellipse; elliptic	椭圆 tuǒ yuán 
overall situation	全局 quán jú 
overbearing; tyranny; (of liquor, medicine etc) strong; potent; the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道;	霸道 bà dào 
overpass; flyover	立交桥 lì jiāo qiáo 
overseas Chinese; CL:个,位[wei4]	华侨 huá qiáo 
overthrow	推翻 tuī fān 
oxygen	氧气 yǎng qì 
pace; (measured) step; march	步伐 bù fá 
package; pack	包装 bāo zhuāng 
pad; cushion; mat	垫 diàn 
pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo); CL:座[zuo4]	塔 tǎ 
palace; CL:座[zuo4]	宫殿 gōng diàn 
pale; wan	苍白 cāng bái 
paper money; a bill (e.g. 100 yuan); CL:张[zhang1] ,扎[za1]	钞票 chāo piào 
paradise; heaven	天堂 tiān táng 
parallel; of equal rank; simultaneous	平行 píng xíng 
paralysis; palsy; numbness; to benumb	麻痹 má bì 
paralysis	瘫痪 tān huàn 
part; local	局部 jú bù 
partner; companion; mate	伴侣 bàn lv3 
party; association; club; society; surname Dang; CL:个	党 dǎng 
passion; fervor; enthusiasm; strong emotion	激情 jī qíng 
passive (not taking initiative)	被动 bèi dòng 
past events; former happenings	往事 wǎng shì 
patent	专利 zhuān lì 
patient; sufferer	患者 huàn zhě 
pattern; style; design; CL:种[zhong3]	款式 kuǎn shì 
pause	停顿 tíng dùn 
pavilion	亭子 tíng zi 
pay a New Year call; wish sb a Happy New Year	拜年 bài nián 
pay a visit; call on	拜访 bài fǎng 
peaceful relations; harmonious	和睦 hé mù 
peaceful; tranquil; calm; composed	安宁 ān níng 
peak; summit; height	高峰 gāo fēng 
pearl	珍珠 zhēn zhū 
perception; consciousness	知觉 zhī jué 
period; cycle	周期 zhōu qī 
periphery; rim	周边 zhōu biān 
perish; ruin; destroy	毁灭 huǐ miè 
perpendicular; vertical	垂直 chuí zhí 
perseverance; willpower	毅力 yì lì 
persistent; stubborn	固执 gù zhi 
personality; integrity; dignity	人格 rén gé 
personal strength; one's special ability or strong points	特长 tè cháng 
person; figure; public figure	人士 rén shì 
persons involved or implicated; party (to an affair)	当事人 dāng shì rén 
petal; CL:片[pian4];	花瓣 huā bàn 
physical resonance; sympathetic response to sth	共鸣 gòng míng 
physiology	生理 shēng lǐ 
picky; fussy	挑剔 tiāo ti 
pigeon; dove; various birds of the species Columbidae	鸽子 gē zi 
pillow	枕头 zhěn tou 
pill	丸 wán 
pitfall; snare; trap;	陷阱 xiàn jǐng 
pit; to defraud	坑 kēng 
plain and simple; unadorned; simple living; not frivolous	朴素 pǔ sù 
plain; simple; guileless; down-to-earth; sincere and honest	朴实 pǔ shí 
plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1] ,条[tiao2]	辫子 biàn zi 
plane (flat surface); print media	平面 píng miàn 
plan; program	规划 guī huà 
play the part of; act	扮演 bàn yǎn 
pleasing to the eye; beautiful; artistic	美观 měi guān 
pleasure of heavenly agreement (idiom); family love and joy; domestic bliss	天伦之乐 tiān lún zhī lè 
plentiful; rich; plump; well-rounded	丰满 fēng mǎn 
plight; unfavorable situation	处境 chǔ jìng 
plot; circumstances	情节 qíng jié 
plot; conspiracy	阴谋 yīn móu 
pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor (old)	兜 dōu 
poem for singing; tune; music; CL:支[zhi1]	曲子 qǔ zi 
policy; CL:个	政策 zhèng cè 
policy; guidelines; CL:个	方针 fāng zhēn 
(political, economic etc) affairs; work	事务 shì wù 
(politically) conservative; to guard; to keep	保守 bǎo shǒu 
popular; hot; in vogue	热门 rè mén 
popular; to popularize; universal; ubiquitous; pervasive	普及 pǔ jí 
porridge (of rice or millet)	粥 zhōu 
port; harbor	港口 gǎng kǒu 
portrait	肖像 xiào xiàng 
position; front	阵地 zhèn dì 
position in a ranking of names	名次 míng cì 
position; place	部位 bù wèi 
position; standpoint; CL:个	立场 lì chǎng 
positive and negative	正负 zhèng fù 
post; announcement	公告 gōng gào 
posterity; later periods; later ages; later generations	后代 hòu dài 
posting on a bulletin board; notice; bulletin; to announce	布告 bù gào 
post; office; position	职位 zhí wèi 
post; position; job; duties	职务 zhí wù 
potable water (water with low salt content); fresh water	淡水 dàn shuǐ 
potential; capacity	潜力 qián lì 
pottery and porcelain; ceramics	陶瓷 táo cí 
pound (unit of weight, about 454 grams); platform balance;	磅 bàng 
power; (ability to) influence	势力 shì li 
power; motion; propulsion; force	动力 dòng lì 
practical; down-to-earth; realistic; firmly based; steadfast; to have peace of mind; free from anxiety	踏实 tā shi 
practical; workable; to implement; to carry out; to decide	落实 luò shí 
precious	珍贵 zhēn guì 
precipitous	陡峭 dǒu qiào 
preface; introductory remarks; preamble; prelude	序言 xù yán 
prefecture; state (e.g. of US); province (old); administrative division (old)	州 zhōu 
prejudice	偏见 piān jiàn 
premise; precondition; prerequisite	前提 qián tí 
preparations; to get ready for sth	筹备 chóu bèi 
prerequisites; rules that must be known before starting sth	须知 xū zhī 
pressing; urgent	紧迫 jǐn pò 
prestige; distinction; reputation; trust	信誉 xìn yù 
prestige	威望 wēi wàng 
prevention and cure	防治 fáng zhì 
price; cost; consideration (in share dealing)	代价 dài jià 
principle; theory	原理 yuán lǐ 
priority	优先 yōu xiān 
prison	监狱 jiān yù 
private; personal; secretly; without explicit approval	私自 sī zì 
procession	行列 háng liè 
proficient	精通 jīng tōng 
profit; gain	盈利 yíng lì 
profound; abstruse; recondite; profoundly	深奥 shēn ào 
profound friendship	深情厚谊 shēn qíng hòu yì 
profound mystery	奥秘 ào mì 
program; guiding principle	纲领 gāng lǐng 
promise; prospects; future	出息 chū xi 
(pron) everyone; Ladies and Gentlemen; Sirs	诸位 zhū wèi 
property; assets	资产 zī chǎn 
property; real estate; property management;	物业 wù yè 
proportion; specific gravity	比重 bǐ zhòng 
proposal; suggestion; to propose; to suggest	提议 tí yì 
propriety; appropriate behavior; proper speech or action; within the norms	分寸 fēn cun 
pros and cons; advantages and disadvantages; gains and losses	利害 lì hài 
prose; essay	散文 sǎn wén 
prosperous; thriving; to prosper; to flourish	兴旺 xīng wàng 
prosperous	昌盛 chāng shèng 
protective screen	屏障 píng zhàng 
protein	蛋白质 dàn bái zhì 
protest	抗议 kàng yì 
provide assistance; aid	协助 xié zhù 
provided that; supposing that; if;	倘若 tǎng ruò 
provincial capital	省会 shěng huì 
publication	刊物 kān wù 
publicly known (to be); accepted (as)	公认 gōng rèn 
public opinion	舆论 yú lùn 
public relations	公关 gōng guān 
Public Security Bureau	公安局 gōng ān jú 
punishment; penalty; to punish	惩罚 chéng fá 
pure; clean and honest; to purify	纯洁 chún jié 
purely	纯粹 chún cuì 
put an end to	杜绝 dù jué 
put emphasis on; to stress; to emphasize	着重 zhuó zhòng 
puzzled; bewildered	纳闷儿 nà mèn r 
qigong, a system of deep breathing exercises	气功 qì gōng 
quality	品质 pǐn zhì 
quarter (finance, publishing, schools etc); season (sports); period of three months	季度 jì dù 
quick-witted; tact; witty; resourceful	机智 jī zhì 
quiet	寂静 jì jìng 
race; competition; CL:个	竞赛 jìng sài 
race; ethnicity	种族 zhǒng zú 
radar (loanword)	雷达 léi dá 
radiance; glory; brilliant; magnificent	光辉 guāng huī 
radiation	辐射 fú shè 
radio; CL:台[tai2]	收音机 shōu yīn jī 
ranks; troops; CL:个	队伍 duì wu 
rapid; sudden	急剧 jí jù 
rare and commendable; estimable	难能可贵 nán néng kě guì 
rare; precious and uncommon	珍稀 zhēn xī 
rare; rarely seen	罕见 hǎn jiàn 
rays of light; brilliant rays; radiance	光芒 guāng máng 
(reach) an understanding	谅解 liàng jiě 
ready-made; readily available	现成 xiàn chéng 
really isn't	并非 bìng fēi 
reason; cause	缘故 yuán gù 
reasoning; speculative; inference	推理 tuī lǐ 
reason; intellect; rationality	理智 lǐ zhì 
reason; sense	情理 qíng lǐ 
recently; lately	近来 jìn lái 
receptacle; vessel	容器 róng qì 
recite; repeat from memory	背诵 bèi sòng 
reconciled; smooth	熨 yù 
red clouds	霞 xiá 
refined; educate; cultured; intellectual; polite; gentle	斯文 sī wen 
refreshed; rejuvenated; frank and straightforward	爽快 shuǎng kuài 
regeneration through one's own effort (idiom); self-reliance	自力更生 zì lì gēng shēng 
regime; (wield) political power	政权 zhèng quán 
regular; according to standards	正规 zhèng guī 
regular and thorough (idiom); methodically arranged	有条不紊 yǒu tiáo bù wěn 
regularly; at regular intervals	定期 dìng qī 
religion	宗教 zōng jiào 
reluctant to leave; to hate to have to go; to recall fondly	留恋 liú liàn 
remedy	补救 bǔ jiù 
remember with concern; worry about	惦记 diàn jì 
remorse; repentance	悔恨 huǐ hèn 
remote control	遥控 yáo kòng 
remote; desolate; far from the city	偏僻 piān pì 
remuneration; reward	报酬 bào chou 
repeatedly; time and again	屡次 lv3 cì 
republic	共和国 gòng hé guó 
repulsive; vile; hateful; abominable	可恶 kě wù 
reputation; fame	声誉 shēng yù 
request sb to do sth; please!	拜托 bài tuō 
requirement; demand (economics)	需求 xū qiú 
rescue	抢救 qiǎng jiù 
residence; tenement	住宅 zhù zhái 
resident; inhabitant;	居民 jū mín 
respond to; answer; CL:个	响应 xiǎng yìng 
restoration	修复 xiū fù 
reverse side of sth; opposite side of some topic; the other side	反面 fǎn miàn 
revolution; revolutionary (politics); CL:次[ci4]	革命 gé mìng 
reward (as encouragement)	奖励 jiǎng lì 
reward; prize; an award	奖赏 jiǎng shǎng 
rhyming couplet; pair of lines of verse written vertically down the sides of a doorway; CL:幅[fu2]	对联 duì lián 
rhythm; tempo; musical pulse; cadence; beat	节奏 jié zòu 
rice crops	稻谷 dào gǔ 
rich; substantial; enrich; substantiate	充实 chōng shí 
rich; sumptuous	丰盛 fēng shèng 
riddle; conundrum	谜语 mí yǔ 
right and wrong; quarrel	是非 shì fēi 
roar of laughter (onomatopoeia); hubbub; to roar (as a crowd)	哄 hōng 
roar or howl of an animal; bellow of rage	吼 hǒu 
robust; strong	健全 jiàn quán 
rock and roll (music); to shake and boil	摇滚 yáo gǔn 
rocket; CL:枚[mei2]	火箭 huǒ jiàn 
rock	岩石 yán shí 
rogue; hoodlum; gangster; immoral behavior	流氓 liú máng 
rotten; decayed; decadent; degenerate	腐朽 fǔ xiǔ 
rough draft; material contributing to a final document	稿件 gǎo jiàn 
round segment; segment (of annelid worms); connection; link; sector; annular ring	环节 huán jié 
ruins	废墟 fèi xū 
rule; regulation	规章 guī zhāng 
rules; regulations; constitution; statute; articles of association (of company); articles of incorporation; charter (of a corporation); by-laws	章程 zhāng chéng 
rumble; noise; static	噪音 zào yīn 
rumor	谣言 yáo yán 
rush about; be busy running about	奔波 bēn bō 
salary; wage	薪水 xīn shuǐ 
salute	敬礼 jìng lǐ 
sample; specimen	样品 yàng pǐn 
satisfactory	圆满 yuán mǎn 
satisfied with what one has (idiom)	知足常乐 zhī zú cháng lè 
saturation	饱和 bǎo hé 
(saying) meticulous planning and careful accounting	精打细算 jīng dǎ xì suàn 
(saying) the gains do not make up for the losses	得不偿失 dé bù cháng shī 
(saying) to sum it up...	归根到底 guī gēn dào dǐ 
scar	疤 bā 
scatter; disperse; distribute	分散 fēn sàn 
scene; occasion	场面 chǎng miàn 
scene; view; sight; landscape; to be well-regarded; to be well-off; grand (topolect); impressive (topolect)	风光 fēng guāng 
screen (TV, computer or movie);	屏幕 píng mù 
script for play, opera, movie etc; screenplay	剧本 jù běn 
seal up	密封 mì fēng 
secondary; auxiliary; deputy; assistant; vice-; abbr. for 副副词 adverb; classifier for pairs	副 fù 
second place (in a sports contest); runner-up	亚军 yà jūn 
secretary; clerk; CL:个	书记 shū ji 
secret; classified (information)	机密 jī mì 
secrete	分泌 fēn mì 
secrets; something one hopes to conceal	隐私 yǐn sī 
section; fragment; segment;	片断 piàn duàn 
seed; CL:颗[ke1] ,粒[li4]	种子 zhǒng zi 
seeking instant benefit (idiom); shortsighted vision, looking only for fast return	急功近利 jí gōng jìn lì 
seldom; rare; hard to come by	难得 nán dé 
senior (in terms of depth of accumulated experience); deeply qualified	资深 zī shēn 
sensation; stir	轰动 hōng dòng 
sense of smell	嗅觉 xiù jué 
sensible; wise; judicious; sagacious;	明智 míng zhì 
sepulcher; tomb	坟墓 fén mù 
sequence; order	次序 cì xù 
serene	安详 ān xiáng 
series	系列 xì liè 
serious	郑重 zhèng zhòng 
setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue	挫折 cuò zhé 
severe; strict	严厉 yán lì 
sex appeal; eroticism; sexuality; sexy	性感 xìng gǎn 
shape; form; pattern; morphology	形态 xíng tài 
shareholder; stockholder	股东 gǔ dōng 
sharp (e.g. knife blade); incisive; to the point	锋利 fēng lì 
sharp; intense; penetrating; pointed; acute (illness)	尖锐 jiān ruì 
sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best	尖端 jiān duān 
sheet (bed); CL:条[tiao2] ,件[jian4] ,张[zhang1] ,床[chuang2]	床单 chuáng dān 
shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written	贝壳 bèi ké 
shift in the trend of events; plot shift in a book; twists and turns	转折 zhuǎn zhé 
shine; illuminate	照耀 zhào yào 
shipping; boats	船舶 chuán bó 
shore; seaside	海滨 hǎi bīn 
short in time; fleeting; brief	短促 duǎn cù 
short period of time; a moment	片刻 piàn kè 
sight; vision; view; gaze; look	目光 mù guāng 
sign; mark; symbol; to mark up	标记 biāo jì 
silly; stupid	愚蠢 yú chǔn 
similar; analogous	类似 lèi sì 
similar to; appearing to be	犹如 yóu rú 
simple and crude (of a room or building)	简陋 jiǎn lòu 
simplified Chinese character, as opposed to traditional Chinese character 繁体字[fan2 ti3 zi4]	简体字 jiǎn tǐ zì 
simplify	简化 jiǎn huà 
sincere; cordial	诚挚 chéng zhì 
sincere; sincerity	真挚 zhēn zhì 
single sail, gentle wind (idiom); plain sailing; to go smoothly	一帆风顺 yì fān fēng shùn 
sing the praises of; extol; eulogize	歌颂 gē sòng 
situation; existing state of affairs	事态 shì tài 
situation; occasion	场合 chǎng hé 
situation; state (of affairs)	局势 jú shì 
skill; technique	技巧 jì qiǎo 
slag (in mining or smelting); dregs	渣 zhā 
slander; libel	诽谤 fěi bàng 
slander	污蔑 wū miè 
slave	奴隶 nú lì 
slope; CL:个	坡 pō 
slow and patient; chronic (disease); slow to take effect (e.g. a slow poison)	慢性 màn xìng 
slow in one's reactions; sluggish (in movement or thought);	迟钝 chí dùn 
slow; sluggish	迟缓 chí huǎn 
smart; clever; sensitive; keen; quick; sharp	灵敏 líng mǐn 
smash; smashed; to fail; to get it wrong	砸 zá 
smoke from kitchen chimneys;	炊烟 chuī yān 
so as not to; so as to avoid	免得 miǎn de 
social niceties; social interaction; a dinner party	应酬 yìng chou 
socket; outlet;	插座 chā zuò 
so far; up to now; still (not)	迄今为止 qì jīn wéi zhǐ 
soil	土壤 tǔ rǎng 
solid	固体 gù tǐ 
so that; so as to; in order to	以便 yǐ biàn 
soul; spirit	灵魂 líng hún 
sound of activity or people talking; news of activity	动静 dòng jìng 
source (of information etc); origin	来源 lái yuán 
sovereignty	主权 zhǔ quán 
space flight	航天 háng tiān 
(space) satellite; CL:颗[ke1]	卫星 wèi xīng 
spacious and well-lit; open and clear; to open out (onto a wider vista); optimistic; cheerful; carefree; easy-going; open-minded	开朗 kāi lǎng 
spacious; wide	宽敞 kuān chang 
speakers or speaker (electronic); acoustics; sound field (in a room or theater)	音响 yīn xiǎng 
specially; intentionally	特意 tè yì 
special-purpose trip	专程 zhuān chéng 
special; specific; designated; particular	特定 tè dìng 
special topic	专题 zhuān tí 
specialty; special knowledge or ability	专长 zhuān cháng 
specimen; sample; the root cause and symptoms of a disease	标本 biāo běn 
spectacular; magnificent sight	壮观 zhuàng guān 
speculation; to conjecture; to surmise; to speculate	推测 tuī cè 
speech; expression of opinion; public opinion	言论 yán lùn 
spinning and weaving	纺织 fǎng zhī 
spirit; boldness; positive outlook; imposing attitude	气魄 qì pò 
splash	溅 jiàn 
splendid; glorious	辉煌 huī huáng 
spontaneous	自发 zì fā 
spot; colored patch; stripe; spotted; striped; variegated;	斑 bān 
sprout; germ of a plant	萌芽 méng yá 
(spy) intelligence; information-gathering	情报 qíng bào 
spy	间谍 jiàn dié 
staff officer; to give advice	参谋 cān móu 
stagnation; at a standstill; bogged down	停滞 tíng zhì 
stalk; stem; CL:条[tiao2]	茎 jīng 
standard; norm; specification	规格 guī gé 
stark; stiff	僵硬 jiāng yìng 
State Council (PRC); State Department (USA)	国务院 guó wù yuàn 
stately	庄严 zhuāng yán 
statement; declaration; CL:项[xiang4] ,份[fen4]	声明 shēng míng 
statistics; to count; to add up	统计 tǒng jì 
steady; calm and collected; not nervous	沉着 chén zhuó 
steamship; CL:艘[sou1]	轮船 lún chuán 
steelyard; Roman balance; CL:台[tai2]	秤 chèng 
still (remaining); to remain (the same); yet	仍旧 réng jiù 
stingy; mean; miserly	吝啬 lìn sè 
stirring up trouble; to invite disaster	惹祸 rě huò 
stockpile; to store; to stockpile; storage	储存 chǔ cún 
stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking	闭塞 bì sè 
storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)	风暴 fēng bào 
stove	炉灶 lú zào 
strategic decision; decision-making; policy decision; to determine policy	决策 jué cè 
strategy	战略 zhàn lvè 
strength	实力 shí lì 
strictly prohibit	严禁 yán jìn 
strict; tight (organization, surveillance etc)	严密 yán mì 
striving to be first and fearing to be last (idiom); outdoing one another	争先恐后 zhēng xiān kǒng hòu 
strong and solid; rich (resources)	雄厚 xióng hòu 
strong; solid; sturdy; firm; practical	扎实 zhā shi 
structure; pattern; layout	格局 gé jú 
stubborn; obstinate; unbending;	倔强 jué jiàng 
stubborn; obstinate	顽固 wán gù 
stuffing; filling, e.g. in 包子[bao3 zi5] or 饺子[jiao3 zi5]	馅儿 xiàn r 
style of work; way; style	作风 zuò fēng 
subject matter	题材 tí cái 
subject	科目 kē mù 
submit an expense account; apply for reimbursement; write-off; wipe out	报销 bào xiāo 
subordinate; underling	下属 xià shǔ 
subsidiary; auxiliary; attached; affiliated; subordinate; subordinating	附属 fù shǔ 
substance; essence	实质 shí zhì 
substandard products; defective; seconds	次品 cì pǐn 
successive generations; successive dynasties; past dynasties	历代 lì dài 
successive years; over many years	连年 lián nián 
sufficient to...; so much so that; so that	足以 zú yǐ 
suitable; appropriate	适宜 shì yí 
sullen; depressed; melancholy; dejected	忧郁 yōu yù 
summary; abstract	摘要 zhāi yào 
sum	总和 zǒng hé 
sunny and cloudless	晴朗 qíng lǎng 
sunset; the setting sun	夕阳 xī yáng 
superabundant; to teem with; to produce in abundance; to abound in	盛产 shèng chǎn 
superior; superiority	优越 yōu yuè 
superstition	迷信 mí xìn 
supply does not meet demand	供不应求 gōng bù yìng qiú 
survival of the fittest	优胜劣汰 yōu shèng liè tài 
suspense in a movie, play etc; concern for sb's welfare	悬念 xuán niàn 
suspicion; (be) suspected (of)	嫌疑 xián yí 
swelling or lump on skin; pimple; knot; preoccupation; problem	疙瘩 gē da 
symbol; mark; sign	符号 fú hào 
symmetry; symmetrical	对称 duì chèn 
symptom (of an illness)	症状 zhèng zhuàng 
system of enfeoffment; feudalism; feudal; feudalistic	封建 fēng jiàn 
system; setup; CL:个	体系 tǐ xì 
taboo; to avoid as taboo; to abstain from	忌讳 jì huì 
tactics; to be tactful	策略 cè lvè 
tactics	战术 zhàn shù 
tailor; dressmaker	裁缝 cái feng 
take a step	迈 mài 
take office; assume a post	就职 jiù zhí 
take office	上任 shàng rèn 
talent; gift; genius; talented; gifted	天才 tiān cái 
tall and straight	挺拔 tǐng bá 
tangible benefit; material advantages; advantageous (deal); substantial (discount)	实惠 shí huì 
task; problem; issue	课题 kè tí 
taste; flavor; feeling	滋味 zī wèi 
tasty; to taste good	可口 kě kǒu 
teacher-training; pedagogical; normal (school, e.g. Beijing Normal University)	师范 shī fàn 
technique; trick; skill	手法 shǒu fǎ 
temperament; personality traits; manners	气质 qì zhí 
temperate zone	温带 wēn dài 
temple; monastery; shrine	寺庙 sì miào 
temporarily; the time being; for the moment; provisional; tentatively	姑且 gū qiě 
tenacious; hard to defeat	顽强 wán qiáng 
tent; CL:顶[ding3] ,座[zuo4]	帐篷 zhàng peng 
tents; classifier for houses	幢 zhuàng 
terrain; topography relief	地势 dì shì 
terrible; frightful; frightening; terror; terrorist	恐怖 kǒng bù 
territory	领土 lǐng tǔ 
that's all; nothing more	而已 ér yǐ 
the daily life of a family	家常 jiā cháng 
The Dragon Boat Festival (the 5th day of the 5th lunar month)	端午节 duān wǔ jié 
the end; end point; finishing line (in a race); destination; terminus; CL:个	终点 zhōng diǎn 
the four limbs of the body	四肢 sì zhī 
the most important; of chief importance	首要 shǒu yào 
the North Pole; the Arctic Pole; the north magnetic pole	北极 běi jí 
theory; doctrine	学说 xué shuō 
the outside world; external	外界 wài jiè 
the present age; the contemporary era	当代 dāng dài 
there is no harm in; might as well	不妨 bù fáng 
the stream flows without stopping (idiom); unending flow	川流不息 chuān liú bù xī 
the traditional Chinese calendar; the lunar calendar	农历 nóng lì 
the truth about sth; the actual facts	真相 zhēn xiàng 
thief; wily; deceitful; evil; extremely; disagreeably	贼 zéi 
think deeply; ponder	思索 sī suǒ 
think of; long for; miss	思念 sī niàn 
third in a race; bronze medalist	季军 jì jūn 
third in order (III); third of 10 heavenly stems 十天干; letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc; propyl	丙 bǐng 
thorn; splinter; to stab; to pierce; to prick	刺 cì 
three-dimensional; solid; stereoscopic	立体 lì tǐ 
throat; larynx	喉咙 hóu lóng 
tide; current; trend	潮流 cháo liú 
time; era; period of time	时光 shí guāng 
time limit; deadline; allotted time	期限 qī xiàn 
timid; cowardly	胆怯 dǎn qiè 
tip of branch	梢 shāo 
tire; pneumatic tire	轮胎 lún tāi 
title; heading; headline; caption; subject	标题 biāo tí 
to abolish; to abrogate; to repeal	废除 fèi chú 
to accept (a bit reluctantly); to put up with;	将就 jiāng jiù 
to accept; to adopt (ideas)	采纳 cǎi nà 
to accompany; to follow; to occur together with; attendant	伴随 bàn suí 
to accord; to give; to show (respect)	给予 jǐ yǔ 
to accumulate; to amass; to hoard; to save	攒 zǎn 
to act for oneself; autonomous	自主 zì zhǔ 
to act in a way that defeats one's purpose (idiom);	南辕北辙 nán yuán běi zhé 
to act jointly; to form a partnership	合伙 hé huǒ 
to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate	代理 dài lǐ 
to add hail to snow (idiom); one disaster on top of another; to make things worse in a bad situation	雪上加霜 xuě shàng jiā shuāng 
to adjourn; to delay; to defer; adjournment; procrastination	拖延 tuō yán 
to adjust; to balance; to make up a medical prescription	调剂 tiáo jì 
to adjust; to regulate; to harmonize; to reconcile (accountancy etc)	调节 tiáo jié 
to administer; to have jurisdiction (over)	管辖 guǎn xiá 
to admire; to look up to; to respect sb greatly	钦佩 qīn pèi 
to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)	倡导 chàng dǎo 
to affix a seal (to sth)	盖章 gài zhāng 
to age; to deteriorate with age; old and weak	衰老 shuāi lǎo 
to agitate; to arouse; to instigate; to encite	鼓动 gǔ dòng 
to aim (a weapon at a target); fig. to aim (for a higher standard);	瞄准 miáo zhǔn 
to allocate; to provide; to outfit with	配备 pèi bèi 
to allow; to permit	许可 xǔ kě 
to answer; to reply; Reply to: (in email header)	答复 dá fù 
to anticipate; to expect; to reckon ahead	意料 yì liào 
to appear; to emerge; to present (a certain appearance); demonstrate	呈现 chéng xiàn 
to appoint and nominate	任命 rèn mìng 
to appoint; to assign; to indicate clearly and with certainty; designated	指定 zhǐ dìng 
to appraise; to identify; to evaluate	鉴定 jiàn dìng 
to approve; approval; acknowledgment; OK	认可 rèn kě 
to arouse; to excite	激发 jī fā 
to arrest; to apprehend; an arrest	逮捕 dài bǔ 
to ask (a question) in reply; to answer a question with a question; rhetorical question	反问 fǎn wèn 
to ask; to demand;	索取 suǒ qǔ 
to assault; to pounce; to rush at sth; to throw oneself on	扑 pū 
to assign; to entrust (a task); to give; to bestow	赋予 fù yǔ 
to assist by the arm; to mix; to mix; to support; to sustain	搀 chān 
to assist; to aid; supplementary; auxiliary; subsidiary	辅助 fǔ zhù 
to associate with something in thinking; abbr. for 聯想集联想集团[Lian2 xiang3 Ji2 tuan2]	联想 lián xiǎng 
to assure; to guarantee; to take care of; to safeguard; certainly; surely	保管 bǎo guǎn 
to attack; to accuse; to charge; an attack (terrorist or military)	攻击 gōng jī 
to attack; to assault; to go on the offensive; attack; assault; offense (sports)	进攻 jìn gōng 
to attempt; to try	试图 shì tú 
to attempt vainly; a vain attempt	妄想 wàng xiǎng 
to awaken; to come to realize; awakened to the truth; the truth dawns upon one; scales fall from the eyes; to become aware	觉醒 jué xǐng 
to award; to confer	授予 shòu yǔ 
to bake; to heat by fire	烘 hōng 
to ban; to prohibit (publications, customs etc); to outlaw; to suppress (violators)	取缔 qǔ dì 
to bask in the light; fig. to benefit from association with sb or sth; reflected glory	沾光 zhān guāng 
to be amazed; to be surprised; to wonder	惊奇 jīng qí 
to bear; hardships	吃苦 chī kǔ 
to bear; to endure	忍受 rěn shòu 
to bear; to give birth; to grow; to rear; to bring up (children)	生育 shēng yù 
to beat up; to break to pieces	揍 zòu 
to beat up; to come to blows; battery (law)	殴打 ōu dǎ 
to be born	诞生 dàn shēng 
to become exhilarated (idiom); in high spirits; full of zest	兴致勃勃 xìng zhì bó bó 
to become invalid; to cancel; to delete; to nullify	作废 zuò fèi 
to be convinced; to accept	服气 fú qì 
to be convinced; to be sure; to firmly believe; to be positive that; definite news	确信 què xìn 
to be dedicated to one's work; to respect one's work;	敬业 jìng yè 
to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate	灭亡 miè wáng 
to be disgusted with; to dislike; bad reaction; antipathy	反感 fǎn gǎn 
(to be done) by (a certain date); lasting (a certain time)	为期 wéi qī 
to be eager for; to long for; to look forward to	巴不得 bā bù dé 
to be fascinated; to be captivated	着迷 zháo mí 
to begin an undertaking; to start a major task; to initiate; to venture; venture	创业 chuàng yè 
to be good at; to be expert in	擅长 shàn cháng 
to be gratified	欣慰 xīn wèi 
to be infatuated with; to be drunk with; to be enchanted with; to revel in	陶醉 táo zuì 
to be in flood; to overflow (the banks); to inundate; to spread unchecked	泛滥 fàn làn 
to be in vogue; to be prevalent	盛行 shèng xíng 
to be jealous; to envy; to hate	嫉妒 jí dù 
to believe in (a religion); firm belief; conviction	信仰 xìn yǎng 
to belittle; to disparage; to play down; to demean; to degrade; to devalue	贬低 biǎn dī 
to be on the alert; vigilant; alert; on guard; to warn	警惕 jǐng tì 
to be oriented towards; orientation	导向 dǎo xiàng 
to be pregnant; to produce offspring; to nurture (a development, school of thought, artwork etc); fig. replete with (culture etc)	孕育 yùn yù 
to be published; to come out	问世 wèn shì 
to betray	背叛 bèi pàn 
to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied	乐意 lè yì 
to bind; to restrict; to tie; to commit; fetters	束缚 shù fù 
to bind; to tie; bundle; cluster; restraint	束 shù 
to bind	捆绑 kǔn bǎng 
to blame; to rebuke	责怪 zé guài 
to blockade; to seal off	封锁 fēng suǒ 
to block; to stop; blockage	堵塞 dǔ sè 
to bow	鞠躬 jū gōng 
to brag; to chat (dialect)	吹牛 chuī niú 
