ability	Fähigkeit
loneliness	Einsamkeit
lonely	einsam
long-desired	lang-begehrt
long-distance call	Ferngespräch
long-drink	Longdrink
long for	sich sehnen nach
long	lange
long-suffering	lange leidend
look after	sich kümmern um (betreuen)
look ahead	schau voraus
look at	ansehen (verb)
look before you leap	schau ehe du springst
look for	suchen
look here !	schau her !
look him in the face	schau ihm ins Gesicht
looking-glass	Spiegel
look out	Ausschau halten
look-out	Aussichtspunkt
looks	Aussehen
look	schauen
look up	nachschlagen
look well	gut aussehen
loose	lose
loosely	lose
loosen	lösen
Lord	Herrgott
Lordship	Lordschaft
lorry	Lastkraftwagen
lose	verlieren
loss	Verlust
lost	verloren
loud	laut
lovable	liebenswert
love affair	Liebesangelegenheit
love	lieben
lovely	reizend
lover	Liebhaber
lower	senken
low	niedrig
low tide	Ebbe
loyal	treu
loyalty	Treue
luck	glücklicher Zufall
lucky	glücklich
luggage	Gepäck(Br.)
lunch	Mittagessen
machine	Maschine
machinery	Maschinenanlage
madam	gnädige Frau
made	machte
mad-house	Irrenhaus
madness	Verrücktheit
mad	wütend
magazine	Zeitschrift
mailman (irr.)	Briefträger(US)
mail	Post
mail-train	Postzug
main	Haupt...
mainland	Hauptland
mainly	hauptsächlich
main road	Hauptstraße
maintain	aufrechterhalten
maize	Mais(Br.)
majority	Mehrheit
make a bed	Bett machen
make a fire	Feuer machen
make a friend	eine Freundschaft schließen
make an effort	strenge dich an
make an exception	eine Ausnahme machen
make a profit	Gewinn machen
make a promise	ein Versprechen geben
make a sudden turn	sich plötzlich wenden
make difficulties	Schwierigkeiten machen
make (irr.)	veranlassen
make it ready	fertigstellen
make over	vermachen
make room	PLatz machen
make-up	Makeup
make way	Platz machen
male	männliche Person
managed	geleitet
manage	leiten
management	Verwaltung
manager	Manager
man (irr.)	Mensch
mankind	Menschheit
manner	Art und Weise
manners	Manieren
manufacture	Herstellung
manufacturer	Hersteller
many a	mancher
many people	viele Leute
many thanks !	vielen Dank !
many	viele
map	Landkarte
march	marschieren
March	März
market	Markt
market place	Marktplatz
mark	Zeichen
marriage	Ehe
married	verheiratet
marry	heiraten
mass	Masse
mass-meeting	Großversammlung
mass-production	Massenproduktion
masterful	meisterhaft
master	meistern
masterpiece	Meisterstück
mastery	Meisterung
matches	Zündhölzer
match	zusammenpassen
material	Stoff
mat	Matte
matter	Angelegenheit
maybe	vielleicht
may	könnt
May	Mai
meadow	Wiese
meal	Mahl
meaning	Bedeutung
mean (irr.)	meinen
means	Mittel
meant	meinte
meanwhile	mittlerweile
measurable	meßbar
measurement	Maß
measure	messen
meat	Fleisch
mechanical engineering	Maschinenbau
mechanically	auf mechanische Weise
mechanic	Mechaniker
mechanics	Mechanik
medical	medizinisch
medicine	Medizin
meeting	Versammlung
meet (irr.)	treffen
meet with (irr.)	sich treffen
melting	schmelzend
melt	schmelzen
member	Mitglied
membership	Mitgliedschaft
me	mir
memorize	sich ins Gedächtnis einprägen
memory	Gedächtnis
mend a road	eine Straße ausbessern
mend	ausbessern
men	Menschen
mention	Erwähnung
menu	Speisekarte
merchant	Händler
merciful	gnädig
merciless	ungnädig
mercy	Erbarmen
merely	nur
merrily	in fröhlicher Weise
merry	fröhlich
message	Botschaft
messenger	Bote
metal	Metall
meter	Meter
met	traf
mice	Mäuse
midday	Mittag
middle-aged	mittleren Alters
middle age	mittleres Lebensalter
middle-class	Mittelstand
middle	mittlerer
midnight	Mitternacht
might	könntet
mildly	in milder Weise
mild	mild
mildness	Milde
mile	Meile
military discipline	militärische Disziplin
military	militärisch
milkmaid	Milchmädchen
milkman	Milchmann
milk	Milch
milky	milchig
miller	Müller
million	Million
millionth	millionste
mill	Mühle
mill-stone	Mühlstein
mind	Verstand
mine	meiner
mineral	mineralisch
mineral water	Mineralwasser
miner	Bergmann
minister	Minister
minute	Minute
mirror	Spiegel
misapply	falsch anwenden
miscalculate	falsch kalkulieren
miserable	elend (adj.)
misfortune	Unglück
misinformed	falsch informiert
miss a train	einen Zug versäumen
Miss	Fräulein
miss	versäumen
mistake	Fehler
mistake for something else	für etwas anderes halten
mistaken for	irrtümlich gehalten für
mist	Dunst
Mister	Herr (als Anrede)
mistook for	hielt irrtümlich für
mistress	Herrin
mistrust	Misstrauen
mixed	gemischt
mix	mischen
mixture	Mischung
mix up	durcheinander bringen
model	Vorbild
moderately	in mäßiger Weise
moderate	mäßig
moderation	Mäßigung
modernize	modernisieren
modern	modern
moment	Augenblick
Monday	Montag
money exchange	Geldwechsel
money	Geld
money-making	Geldverdienen
monkey	Affe
monthly	monatlich
month	Monat
monument	Denkmal
mood	Stimmung
moon	Mond
moral	moralisch
more	mehr
moreover	überdies
more than	mehr als
morning	Morgen
most difficult	äußerst schwierig
mostly	meistens
most	meiste
most of all	vor allem
mother-in-law	Schwiegermutter
motherly	mütterlich
mother	Mutter
mother-tongue	Muttersprache
motion	Bewegung
motorcycle	Motorrad
motor	Motor
mountain	Berg
mountainous	gebirgig
mouse (irr.)	Maus
mouse-trap	Mausefalle
mouth	Mund
mouthpiece	Mundstück
movement	Bewegung
move	sich bewegen
movies	Kino
much bigger	viel größer
much more	viel mehr
much obliged	zu Dank verpflichtet
much	viel
muddy	schlammig
mud	Schlamm
multiplication	Multiplikation
multiply	multiplizieren
murder	Mord
muscle	Muskel
museum	Museum
musical instruments	Musikinstrumente
musical	musikalisch
musician	Musiker
music	Musik
must	muss
must not	dürft nicht
mutton	Hammelfleisch
my best clothes	meine besten Kleider
my duty to my country	meine Pflicht gegenüber meinem Land
my elder brother	mein älterer Bruder
my equals	meinesgleichen
my experiences in Africa	meine Erfahrungen in Afrika
my	meiner
my private possessions	mein privater Besitz
myself	mich (rückbezogen)
my shoe pinches me	mein Schuh drückt mich
nail	Nagel
named	genannt
nameless	namenlos
namely	nämlich
name	Name
name plate	Namensschild
narrow escape	knappes Entkommen
narrowness	Enge
narrow	schmal
national	staatlich
nation	Nation
native	Einheimischer
native speaker	Muttersprachler
naturally	auf natürliche Weise
natural	natürlich
natural science	Naturwissenschaft
nature	Natur
nearly	beinahe
near	nahe
neatness	Zierlichkeit
neat	ordentlich
necessarily	notwendigerweise
necessary	notwendig
necessity	Notwendigkeit
neck	Hals
necklace	Halskette
necktie	Halstuch
needle	Nähnadel
need	Not
needy	bedürftig
neglect	Vernachlässigung
neighbourhood	Nachbarschaft
neighbouring	benachbart
neighbour	Nachbarin
neither ... nor	weder ... noch
nephew	Neffe
nerve	Nerv
nervous	nervös
nervousness	Nervösität
nest	Nest
Netherlands	Niederlande
net	Netz
network	Netzwerk
never mind !	macht nichts !
never	nie
new	neu
new potatoes	neue Kartoffeln
news from abroad	Nachrichten vom Ausland
news	Nachrichten
newspaper	Zeitung
New Year	Neujahr
New Year's day	Neujahrstag
next house	nächstes Haus
next Monday	kommenden Montag
next	nächster
nice	hübsch
nice-looking	gut aussehend
nicely	auf nette Weise
niece	Nichte
night	Nacht
nine	neun
nine o'clock	neun Uhr
nineteen	neunzehn
nineteenth	neunzehnte
ninetieth	neunzigste
ninety	neunzig
ninth	neunte
nobility	Adel
noble deed	edle Tat
noble deeds	edle Taten
noble	edel
nobleman	Edelmann
nobleness	Edelmut
nobody	niemand
no doubt	ohne Zweifel
no excuse	keine Entschuldigung
noise	Lärm
noisy	laut (adj.)
no	nein
none	keiner
nonsense	Unsinn
non-stop	ohne Aufenthalt
no one else	sonst keiner
no one	keiner
noon	Mittag
nor	auch nicht
normal	normal
northern	nördlich
north	Norden
Norway	Norwegen
nose	Nase
no such thing	keine solche Sache
not a	kein(e)
not as	nicht so wie
not at all	überhaupt nicht
notebook	Notizbuch
note	Notiz
notepaper	Notizpapier
not even	nicht einmal
nothing	nichts
noticeable	bemerkenswert
notice	bemerken
notice board	Anschlagtafel
not	nicht
not only but also	nicht nur sondern auch
not so ... as	nicht so wie
not yet	noch nicht
novel	Roman
November	November
nowadays	heutzutage
nowhere	nirgends
now	nun
nuisance	Ärgernis
number	Zahl
nurse	Krankenschwester
nursery	Kindertagesstätte
oak	Eiche
oar	Ruder
obedience	Gehorsam
obedient	gehorsam
obey	gehorchen
object	Gegenstand
objectionable	nicht einwandfrei
objection	Einwand
oblige	verpflichten
observation	Beobachtung
observe	beobachten
obtain	sich erwerben
obviously	offensichtlich
occasionally	gelegentlich
occasion	Gelegenheit
occupation	Tätigkeit
occupied with	beschäftigt mit
occupy	in Besitz nehmen
ocean	Ozean
October	Oktober
odd	komisch
of course	selbstverständlich
of equal rank	gleichrangig
off duty	außer Dienst
offence	Vergehen
offend against	verstoßen gegen
offend	beleidigen
offer	Angebot
office	Büro
office hours	Dienststunden
officer	Offizier
official	offiziell
off	weg von
often	oft
of	von
oil	Öl
old age	Greisenalter
old	alt
old books	alte Bücher
older	älter
oldest	älteste
old-fashioned	altmodisch
omit a word	ein Wort auslassen
omit	versäumen
on account of	wegen
on board	an Deck
once again	nochmal
once	einmal
on duty	im Dienst
on each side	auf beiden Seiten
one another	einander
on either side	auf beiden Seiten
one-legged	einbeinig
one	man
oneself	sich
one-sided	einseitig
on hire	zu vermieten
only boys	nur Knaben
only	nur
on purpose	absichtlich
on the wall	an der Wand
on time	pünktlich
on top	obenauf
on top of	zu oberst auf
on trial	auf Probe
on	weiter
open an account	ein Konto eröffnen
opening	Eröffnung
open	sich öffnen
operate a machine	eine Maschine bedienen
operation	Operation
opinion	Meinung
opportunity	Gelegenheit
oppose	sich widersetzen
opposite	gegenüber
orange	Orange
order	Ordnung
ordinary	gewöhnlich
or else	anderenfalls
organization	Organisation
organized	organisiert
organize	organisieren
organ	Organ
originality	Originalität
originally	ursprünglich (adv.)
original	ursprünglich
origin	Ursprung
ornament	Verzierung
or	oder
other	anderer
otherwise	sonst
ought to	solltet
ounce	Unze
our common interests	unsere gemeinsamen Interessen
ourselves	uns (rückbez.)
ours	unserer
our	unsere
outbreak	Ausbruch
outcry	Ausruf
outdoor	außerhalb des Gebäudes
outdoors	draußen im Freien
outer	äußerer
outermost	äußerster
outgoing	ausgehend
out	hinaus
outlet	Auslaß
outline	Umriß
out of	aus (heraus)
out of date	überholt
out of reach	nicht zu erreichen
out of the way	abseits vom Wege
output	Ausstoß
outside	Außenseite
outskirts	Außenbezirke
outstanding	ausstehend
overcame	überwand
over-careful	übersorgfältig
overcoat	Mantel
overcome (irr.)	überwinden
overcome	überwunden
overfeed	überfüttern
overflow	überfließen
over	vorüber
owe	schulden
owing to	wegen
owner	Besitzer
ownership	Eigentumsrecht
pace	Schritt
package	Packung
pack	packen
padded	gepolstert
padding	Wattierung
pad	Polster
page	Buchseite
paid	zahlte
painful	schmerzhaft
pain	Schmerz
paint-brush	Malerpinsel
painter	Maler
paint	malen
pair of shoes	Paar Schuhe
pale	blass
paleness	Blässe
pan	Topf
pants	Hose(US)
paper	Papier
parcel	Paket
pardon	Verzeihung
pardon ?	wie bitte ?
parental	elterlich
parents	Eltern
parents-in-law	Schwiegereltern
park	parken
parliament	Parlament
partial	zum Teil
particle	Teilchen
particular	besonderer
particularly	insbesondere
partly	teilweise
partner	Partner
part	Teil
party	Party
passage	Überfahrt
pass by	vorbeifahren
passenger	Passagier
passing by	vorübergehend
passion	Leidenschaft
pass	vorbeigehen
paste	Paste
past five	nach fünf Uhr
pastry	Gebäck
past	Vergangenheit
path	Weg
patience	Geduld
patiently	in geduldiger Weise
patient	Patient
patriotic	patriotisch
pattern	Schnittmuster
pause	pausieren
paw	Pfote
pay attention (to)	aufpassen (auf)
pay down	zahle an
paying-cards	Spielkarten
pay (irr.)	zahlen
pay me my wages	zahle mir meinen Lohn
payment	Zahlung
peace and quiet	Friede und Ruhe
peace	Frieden
peaceful	friedlich
pea	Erbse
pear	Birne (Obst)
pearl	Perle
peculiar	eigenartig
peculiarity	Eigenart
peculiarly	auf eigenartige Weise
pedestrian crossing	Fußgängerüberweg
pedestrian	Fußgänger
pence	Pence (Betrag)
pencil	Bleistift
pen	Feder (zum Schreiben)
pennies	Pennies (Münzen)
penny (irr.)	Penny
people come and go	Leute kommen und gehen
people	Volk
pepper	Pfeffer
perfection	Vollkommenheit
perfect	vollkommen
performance	Theatervorstellung
perform	aufführen
perhaps	vielleicht
period	Zeitraum
permanent	dauernd
permanently	andauernd
perm	Dauerwelle
permission	Erlaubnis
permit	erlauben
per	pro
personal	persönlich
person	Person
persuade	überreden
persuasion	Überredung
pet	Kuscheltier
petrol	Benzin(Br.)
petrol station	Tankstelle(Br.)
phone	Telefon
photo	Foto
photographer	Fotograf
photograph	fotografieren
photographic	fotografisch
photography	Fotografie (Tätigkeit)
physical	körperlich
physician	Arzt
piano	Klavier
pick	pflücken
pick-pocket	Taschendieb
pick up	vom Boden aufheben
picture	Bild
piece	Stück
piece-work	Stückarbeit
pie	Pastete
pigeon	Taube
pig	Schwein
piled up	angehäuft
pile	Haufen
pile up	aufhäufen
pillar	Säule
pillow	Kopfkissen
pinch	zwicken
pink	rosa
pin	Stecknadel
pint	etwas mehr als ein halber Liter
pipe	Tabakpfeife
pitiful	mitleidig
pity	Mitleid haben mit
place	plazieren
plain	klar
plane	Flugzeug
planet	Planet
plan	planen
planter	Pflanzer
plant	pflanzen
plastic	plastisch
plate	Teller
platform	Bahnsteig
player	Spieler
playground	Spielplatz
play	Theaterstück
plaything	Spielzeug
pleasant	angenehm
please	erfreuen
pleasure	Freude
plentiful	reichlich
plenty of food	viel zu essen
plenty of money	viel Geld
plenty of	sehr viel
plough	pflügen
pocket comb	Taschenkamm
pocket	Tasche am Anzug
poem	Gedicht
poet	Dichter
poetry	Gedichte
point at something	auf etwas deuten
pointed	spitz
point of a needle	Nadelspitze
point of view	Standpunkt
point out	hinweisen auf
point	Spitze
point to	hindeuten auf
poisoned	vergiftet
poisonous	giftig
poison	vergiften
Poland	Polen
pole	Pol
policeman (irr.)	Polizist
policemen	Polizisten
police	Polizei
police station	Polizeiwache
polish	Politur
polite	höflich
politely	auf höfliche Weise
politeness	Höflichkeit
political	politisch
politician	Politiker
politics	Politik
pool	Teich
poor	arm
popularity	Beliebtheit
popular	populär
populate	bevölkern
population	Bevölkerung
pork	Schweinefleisch
porter	Gepäckträger
Portugal	Portugal
position	Lage
possess	besitzen
possession	Besitz
possibility	Möglichkeit
possible	möglich
postage	Porto
postage stamp	Briefmarke
post a letter	einen Brief einwerfen
postcard	Postkarte
poster	Poster
postman	Briefträger
postmaster	Leiter des Postamts
post office	Postamt
post	Posten
potato	Kartoffel
pot	Topf
poultry	Geflügel
pound	Pfund
pour	gießen
poverty	Armut
powder	Pulver
powdery	puderig
powerful	mächtig
power	Macht
practically everybody	praktisch jedermann
practical	praktisch
practice	Übung
praise	loben
pray	beten
prayer-book	Gebetsbuch
prayer	Gebet
preacher	Prediger
precious	wertvoll
prefer	vorziehen
preparation	Zubereitung
prepare a meal	eine Mahlzeit zubereiten
prepare	zubereiten
presence	Anwesenheit
present	gegenwärtig
preservation	Erhaltung
preserve	bewahren
preserves	Eingemachtes
president	Präsident
press-cuttings	Zeitungsausschnitte
press	Presse
press the button	den Knopf drücken
pressure	Druck
pretence	Vorwand
pretend	vorgeben
prettiness	Niedlichkeit
pretty	hübsch
prevention	Verhinderung
preventive measures	verhütende Maßnahmen
preventive	verhindernd
prevent	verhindern
price	Preis
prick	stechen
pride	Stolz
priest	Priester
prince	Prinz
princess	Prinzessin
printed papers	Drucksachen
printer	Drucker
print	Foto
printing press	Maschine zum Drucken
prisoner	Gefangener
prison	Gefängnis
private affair	Privatangelegenheit
private	pivat
prize	Preis als Gewinn im Wettbewerb
probable	wahrscheinlich
probably	wahrscheinlich (adv.)
procession	Prozession
process	Verfahren
produce	Erzeugnis
production	Produktion
product	Produkt
professional	berufsmäßig
profession	Beruf
profit	Profit
programme	Programm (Br.)
program	Programm (Am.)
progress	Fortschritt machen
promise	Versprechen
promptly	prompt (adv.)
prompt	prompt
pronounce	aussprechen
pronunciation	Aussprache
proof	Beweis
properly	in richtiger Art und Weise
proper	richtig
property	Eigentum
proposal	Vorschlag
propose	vorschlagen
protection	Schutz
protect	schützen
protest	protestieren
proudly	stolz (adv.)
proud	stolz
prove	sich erweisen als
provide for one's children	für seine Kinder vorsorgen
provide	vorsorgen
provisions	Vorräte
pub	Kneipe
public	Öffentlichkeit
pullover, sweater	Pullover
pull	ziehen
pump	Pumpe
punctuality	Pünktlichkeit
punctually	pünktlich (adv.)
punctual	pünktlich
punish	bestrafen
punishment	Strafe
pupil	Schülerin
purchase	einkaufen
pure	rein
purity	Reinheit
purpose	Zweck
purse	Täschchen
pushing	unternehmend
push	stoßen
put an end	ein Ende machen
put a question to somebody	eine Frage stellen
put aside	beiseite stellen
put him to bed	ihn ins Bett bringen
put (irr.)	stellen
put it down	stelle es ab
put money aside	Geld beiseite legen
put on a dress	ein Kleid anziehen
put on a hat	einen Hut aufsetzen
put	setzte
puzzle	verwirren
qualification	Qualifikation
qualify	sich qualifizieren
quality	Qualität
quantity	Menge
quarrelsome	streitsüchtig
quarrel	Streit
quarterly	vierteljährlich
quarter	Viertelstunde
queen	Königin
question	Frage
queue	Schlange wartender Leute
quickly	in schneller Weise
quickness	Schnelligkeit
quick	schnell
quiet colours	ruhige Farben
quietly	in ruhiger Weise
quiet	ruhig
quite	ganz (adv.)
rabbit	Kaninchen
race horse	Rennpferd
race	Rennen
radio	Radio
radio set	Radiogerät
radio station	Rundfunkstation
railing	Reeling
railroad (Am.)	Eisenbahn
rail	Schiene
railway (Br.)	Eisenbahn
railway rates	Eisenbahntarif
rainbow	Regenbogen
rainfall	Niederschlag
rain	regnen
rainwater	Regenwasser
rainy	regnerisch
raise	hoch heben
rake	Rechen
rake up the leaves	die Blätter zusammenrechen
rang	läutete
rank	militärischer Rang
ran	rannte
rapidly developing	sich schnell entwickelnd
rapidly	in schneller Weise
rapid	schnell
rarely	selten
rare	selten
rates	Grundsteuer
rate	Tarif
rather	ziemlich
rat	Ratte
raw	roh
ray	Strahl
razor	Rasierer
reach	reichen
reader	Leser
read (irr.)	lesen
read	las
read to	vorlesen
ready	fertig
ready-made	Fertigware
real	echt
reality	Wirklichkeit
realize	verwirklichen
really	wirklich
reasonable	vernünftig
reasonably	vernünftig (adv.)
reason	Vernunft
receipt	Quittung
receive	erhalten
receiver	Empfänger
recent events	jüngste Ereignisse
recent	kürzlich
recently	vor kurzem
reception	Empfang
recognition	Anerkennung
recognize	erkennen
recommendation	Empfehlung
recommend	empfehlen
recorder	Gerät zum Aufzeichnen
record player	Plattenspieler
record	Schallplatte
recover	sich erholen
Red Cross	Rotes Kreuz
redden	rot machen
reddish	rötlich
red-hot	rotglühend
red Indian	Indianer
red	rot
reduce	herabsetzen
reduction	Kürzung
referee	Schiedsrichter
reference	Referenz
referring to	mit Bezug auf
refer to	sich beziehen auf
reflection	Überlegung
reflect	reflektieren
refresh	erfrischen
refreshing	erfrischend
refreshment	Erfrischung
refrigerator	Kühlschrank
refusal	Ablehnung
refuse	verweigern
regardful	rücksichtsvoll
regardless	rücksichtslos
regard	Respekt
region	Gegend
register	Verzeichnis
regret	Bedauern
regularly	regulär (adv.)
regular petrol	Normalbenzin
regular	regelmäßig
reign	regieren (Monarch)
rejoice	sich erfreuen
related	verwandt
relation	Verwandter
relative	Verwandter
relief	Erleichterung
relieve	erleichtern
religion	Religion
religious	religiös
rely on	sich verlassen auf
remain	verbleiben
remark	sich äußern
remedy	Mittel
remember	sich erinnern an
remind	jemanden erinnern
removal	Umzug
remove	entfernen
rent	Pacht
repair	Reperatur
repeated	wiederholt
repeat	wiederholen
reply	antworten
reporter	Reporter
report	Schulzeugnis
representative	Vertreter
represent	vertreten
republic	Republik
request	Gesuch
require	erfordern
requirements	Erfordernisse
rescue	Rettung
research	Forschung
reservation	Reservierung
reserve	reservieren
resistance	Widerstand
resist	widerstehen
respectful	voll Respekt
respect	respektieren
responsible	verantwortlich
result	Ergebnis
result from	vergeben aus
result in	führen zu
resulting	resultierend
retired	pensioniert
retired person	Person im Ruhestand
retirement	Ruhestand
retire	sich zurückziehen
return ticket	Rückfahrkarte
return	zurückkehren
revenge	rächen
review	verbessern
revolution	Revolution
reward	Belohnung
ribbon	Band
rice	Reis
riches	Reichtümer
rich	reich
ridden	geritten
ride (irr.)	reiten
rider	Reiter
right angle	rechter Winkel
right	richtig
ring (irr.)	läuten
ring	Ring
ripen	reifen
ripe	reif
rise (irr.)	aufstehen
risen	aufgestanden
rising	aufsteigend
risk	riskieren
risky	riskant
rival	Rivale
rivalry	Rivalität
river-bank	Flussufer
river	Fluß
road accident	Verkehrsunfall
road	Landstraße
roadside	Straßenrand
roar	Gebrüll
roast	gebraten
rob	berauben
robber	Räuber
robbery	Raubüberfall
rocking-chair	Schaukelstuhl
rock	schaukeln
rode	ritt
rod	Rute
roller	Roller
roll	rollen
roof	Dach
rooms to let	Zimmer zu vermieten
room	Zimmer
rooted	verwurzelt
root	wurzeln
rope	Seil
rose	stand auf
rotten	verrottet
rot	verrotten
rough	grob
roughly	ungefähr
roughness	Derbheit
round	um ... herum
rowing boat	Ruderboot
row	rudern
royal	königlich
rubber	Gummi
rubber tube	Gummischlauch
rubbish	Abfall
rub	reiben
rudely	in unhöflicher Weise
rude	unhöflich
rug	Vorleger
ruin	ruinieren
ruins	Trümmer
rule	regieren
ruler	Linial
run a business	ein Geschäft leiten
run across	stoßen auf
run away	weglaufen
rung	geläutet
run into danger	Gefahr laufen
run (irr.)	rennen
run	Lauf
running	laufend
run risks	Risiken eingehen
run up and down	auf und ab rennen
rush	eilen
rush hour	Hauptverkehrszeit
Russian	russisch
Russia	Russland
sack	Sack
sacred	heilig
sacrifice	opfern
sadden	traurig machen
saddle	satteln
sadly	in trauriger Weise
sadness	Traurigkeit
sad	traurig
safe and sound	sicher und gesund
safely	in sicherer Weise
safe	sicher
safety	Sicherheit
said	sagte
sailing boat	Segelboot
sailor	Matrose
sail	segeln
salad	Salat
salary	das Gehalt
sales assistant	Verkäufer(in) (Br.)
salesclerk	Verkäufer(in) (US)
salesman	Verkäufer
sale	Verkauf
salt	Salz
sample	Muster
sandbank	Sandbank
sandhill	Sandhügel
sand	Sand
sang	sang
sank	sank
satisfaction	Befriedigung
satisfactory	zufriedenstellend
satisfy	befriedigen
sat	saß
Saturday	Samstag
saucer	Untertasse
sauce	Soße
sausage	Würstchen
save	sparen
savings	Ersparnisse
sawn	gesägt
saw	sah
say (irr.)	sagen
scale	Skala
scales	Waage
scarce	knapp
scarcely	kaum
scarcity	Knappheit
scatter	verstreuen
scene	Szene
school-book	Schulbuch
school-boy	Schuljunge
school	Schule
science	Wissenschaft
scientific	wissenschaftlich
scientist	Wissenschaftler
scissors	Schere
scold	schelten
Scotch	schottischer Whisky
Scotland	Schottland
Scotsman (irr.)	Schotte
Scots (pl.)	Schotten (pl.)
Scotswoman (irr.)	Schottin
Scottish	schottisch
scrape	schaben
scratch	Kratzer
screen	Filmleinwand
screw	schrauben
sea	die See
sea-level	Meereshöhe
seaman	Seemann
search for	suchen (nach)
searching	suchend
search	Suche
season	Saison
seat	Sitzplatz
sea-water	Meereswasser
sea waves	Meereswellen
second-hand	gebraucht
second	zweite
secrecy	Verschwiegenheit
secretary	Sekretärin
secret	Geheimnis
seed	Samen
see (irr.)	verstehen
seem	scheinen
seen	gesehen
seize	ergreifen
seldom	selten
self-control	Selbstkontrolle
self-defence	Selbstverteidigung
selfish	selbstsüchtig
self...	selbst...
self service restaurant	Selbstbedienungsrestaurant
seller	Verkäufer
sell (irr.)	verkaufen
sell out	ausverkaufen
sender	Absender
send (irr.)	schicken
sense	Sinn
sensible	vernünftig
sentence	Urteil des Gerichts
sent	schickte
separate	trennen
separation	Trennung
September	September
series	Serie
serious	ernst
servant	Diener
serve	servieren
service	Service
set (irr.)	stellen
set	setzte
settle a dispute	einen Streit beilegen
settlement	Regelung
settler	Siedler
settle	sich niederlassen
seven at one blow	sieben auf einen Schlag
seven	sieben
seventeen	siebzehn
seventeenth	siebzehnte
seventh	sieb(en)te
seventieth	siebzigste
seventy	siebzig
several	verschiedene
severely	in schlimmer Weise
severe	streng. heftig
sew (irr.)	nähen
sewn	genäht
sex	Geschlecht
shade	schattieren
shadow	Schatten
shadowy	schattig
shady	schattig
shake (irr.)	schütteln
shaken	geschüttelt
shallow	seicht
shall	werden
shameful	schändlich
shameless	schamlos
shame	Schande
shampoo and set	Waschen und Legen
shape	formen
shapeless	formlos
share	teilen
sharpen	schärfen
sharpness	Schärfe
sharp	scharf
shave	sich rasieren
shed (irr.)	vergießen
shed	vergossen
sheep (irr.)	Schaf
sheep (pl.)	Schafe
she is expecting a baby	sie erwartet ein Baby
shelf (irr.)	Regal
shelves	Regale
she	sie
she turned away	sie wandte sich ab
she washes herself	sie wäscht sich
shine (irr.)	scheinen
shine	Schein
shining	glänzend
shipbuilding	Schiffsbau
ship	verschiffen
shipwreck	Schiffswrack
shirt	Hemd
shock	schockieren
shoe-maker	Schuhmacher
shoe	Schuh
shone	schien
shook	schüttelte
shoot (irr.)	schießen
shop assistant	Verkäufer(in)
shop	Laden
shopping	Einkaufen
shop window	Schaufenster
shore	Küste
shortage	Knappheit
shorten	kürzen
short	kurz
shortness	Kürze
short-sighted	kurzsichtig
shot	Schuß
shoulder	Schulter
should	würden
shout	lauter Schrei
shower	Regenschauer
show (irr.)	zeigen
shown	gezeigt
show	Schau
shut in	einschließen
shut (irr.)	schließen
shut	schloss
shut up	verschließen
shyness	Schüchternheit
shy	schüchtern
sick	krank
sickness	Übelkeit
side	Seite
sideways	nach der Seite
sightseeing	Besichtigungen
sight	Sehvermögen
sights	Sehenswürdigkeiten
signal	signalisieren
signature	Unterschrift
signs of wear	Zeichen der Abnutzung
sign	Zeichen
silence	zum Schweigen bringen
silently	schweigend
silent	still
silk ribbons	Seidenbänder
silk	Seide
silkworm	Seidenraupe
silver chain	Silberkette
silver coins	Silbermünzen
silver	Silber
silvery	silberig
similar	ähnlich
simple	einfach
simplicity	Einfachheit
simply	in einfacher Weise
since 1980	seit 1980
sincere	aufrichtig
since	weil
singer	Sänger(in)
sing (irr.)	singen
single	einzeln
single-handed	mit einer Hand
singly	einzeln (adv.)
sink (irr.)	sinken
sin	Sünde
sir	mein Herr
sister-in-law	Schwägerin
sister	Schwester
sit down	sich (hin)setzen
sit (irr.)	sitzen
sitting room	Wohnzimmer(Br.)
situated	gelegen (Gebäude etc)
situation	Lage
six	sechs
sixteen	sechzehn
sixteenth	sechzehnte
sixth	sechste
sixtieth	sechzigste
sixty	sechzig
size	Größe
skilful	geschickt (adj.)
skilled	geschickt
skill	Geschick
skin	Haut
skirt	Rock
ski	skilaufen
sky	Himmel
slavery	Sklaverei
slave	Sklave
sleeper	schlafende Person
sleepiness	Schläfrigkeit
sleeping-car	Schlafwagen
sleep (irr.)	schlafen
sleepless	schlaflos
sleep	Schlaf
sleepy	schläfrig
sleeve	Ärmel
slept	schlief
slice	Schnitte
slide	Dia(positiv)
slide (irr.)	gleiten
slid	glitt
slight	gering(fügig)
slightly	in geringfügiger Weise
slim	schlank
slippery	schlüpfrig
slip	Unterkleid
slope	Abhang
slow down	verlangsamen
slow	langsam
slow-moving	sich langsam bewegend
slowness	Langsamkeit
small	klein
smallness	Geringfügigkeit
small packet	Päckchen
smell	Geruch
smell (irr.)	riechen
smelt	roch
smile	Lächeln
smoke	rauchen
smoker	Raucher
smooth	glätten
snack bar	Snackbar
snack	Imbiß
snake	Schlange
snow-ball	Schneeball
snow-flake	Schneeflocke
snow	schneien
snow-storm	Schneesturm
snow-white	schneeweiß
soap	Seife
soapy	seifig
so-called	sogenannt
social	gesellschaftlich
socially	gesellschaftlich (adv.)
society	Gesellschaft
sock	Socke
so do I	ich auch
sofa	Sofa
soft drinks	alkoholfreie Getränke
soften	weich machen
softness	Weichheit
soft	weich
